rule_id,canonical_protocol_evidence,implementation_symbol,fixture_test_or_review,disposition
P15-015,approved_protocol.adapter_protocol.depth_1.row_order,adapter.read_registered_table+adapter.aggregate_depth_1,test_depth1_typed_aggregations_ties_and_dates+test_literal_null_first_last_and_unicode_mode_tie_break,implemented_tested
P15-016,approved_protocol.adapter_protocol.depth_1.row_count_feature,adapter.aggregate_depth_1,test_no_row_is_distinct_from_observed_null,implemented_tested
P15-017,approved_protocol.adapter_protocol.depth_1.numeric_aggregations,adapter._aggregate_numeric,test_depth1_typed_aggregations_ties_and_dates+test_literal_null_first_last_and_unicode_mode_tie_break,implemented_tested
P15-018,approved_protocol.adapter_protocol.depth_1.date_aggregations,adapter._aggregate_date+adapter._signed_days,test_depth1_typed_aggregations_ties_and_dates+test_strict_date_validation,implemented_tested
P15-019,approved_protocol.adapter_protocol.depth_1.boolean_aggregations,adapter._aggregate_boolean,test_depth1_typed_aggregations_ties_and_dates+test_literal_null_first_last_and_unicode_mode_tie_break,implemented_tested
P15-020,approved_protocol.adapter_protocol.depth_1.categorical_aggregations,adapter._aggregate_categorical,test_depth1_typed_aggregations_ties_and_dates+test_literal_null_first_last_and_unicode_mode_tie_break,implemented_tested
P15-021,approved_protocol.adapter_protocol.depth_1.categorical_mode_tie_break,adapter._lexical_key+adapter._aggregate_categorical,test_literal_null_first_last_and_unicode_mode_tie_break,implemented_tested
P15-022,approved_protocol.adapter_protocol.depth_1.empty_group_rule,adapter._aggregate_values+adapter.aggregate_depth_1,test_no_row_is_distinct_from_observed_null,implemented_tested
P15-023,approved_protocol.adapter_protocol.depth_1.future_information_rule,adapter._signed_days,test_depth1_typed_aggregations_ties_and_dates,implemented_tested
P15-024,approved_protocol.adapter_protocol.depth_1.order_columns,adapter.aggregate_depth_1,test_missing_order_and_orphan_related_rejected,implemented_tested
P15-025,approved_protocol.adapter_protocol.depth_1.feature_naming,adapter.aggregate_depth_1+adapter.predictor_columns,test_predictor_and_lineage_order_are_deterministic,implemented_tested
P15-026,approved_protocol.adapter_protocol.row_contract.output+join,adapter.aggregate_depth_1+adapter.join_compact,test_end_to_end_fixture_build_and_completed_reuse,implemented_tested
P15-027,approved_protocol.schema_and_cardinality_profile orphan_rows=0,adapter._ensure_related_keys,test_depth0_duplicate_or_orphan_rejected+test_missing_order_and_orphan_related_rejected,implemented_tested
P15-028,approved_protocol.leakage_and_availability_scope.records.action,contract.FeatureRule+adapter._required_columns+adapter.predictor_columns,test_contract_scope_counts_and_no_unresolved+test_constants_all_missing_are_retained_and_exclusions_absent,implemented_tested
P15-029,approved_protocol.adapter_protocol.preprocessing.constant_and_all_missing,adapter.predictor_columns+adapter.aggregate_depth_1,test_constants_all_missing_are_retained_and_exclusions_absent,implemented_tested
P15-030,approved_protocol.adapter_protocol.preprocessing.unsupported_dtype,contract schema recovery+adapter.validate_partition_schema,test_changed_schema_is_rejected,implemented_tested
P15-031,approved_protocol.adapter_protocol.depth_0.merge_order+depth_1.family_order+feature_naming,adapter.predictor_columns+adapter.expected_lineage,test_predictor_and_lineage_order_are_deterministic+test_end_to_end_fixture_build_and_completed_reuse,implemented_tested
P15-032,approved_protocol.split_and_fold_boundaries.membership_specification,adapter.build_modeling_matrix split_membership,test_end_to_end_fixture_build_and_completed_reuse,implemented_tested
P15-033,approved_protocol.split_and_fold_boundaries.fold_protocol,adapter metadata split_and_fold_interface+fit_scope_token,test_fold_local_fit_transform_guards+existing GroupedTimeSeriesSplit tests,implemented_tested
P15-034,approved_protocol.adapter_protocol.leakage_boundaries,adapter.fit_scope_token+adapter.assert_transform_scope,test_fold_local_fit_transform_guards,implemented_tested
P15-035,approved_protocol.method_and_evaluation_matrix.resource_controls,adapter.read_registered_table+adapter.build_modeling_matrix+ResourceHook,test_end_to_end_fixture_build_and_completed_reuse+existing resource policy tests,implemented_tested
P15-036,approved_protocol.method_and_evaluation_matrix.resource_controls.checkpoint+Prompt15 checkpoint invariant,adapter._checkpoint_identity+adapter._load_reusable_checkpoint,test_checkpoint_reuse_and_stale_rejection+test_end_to_end_fixture_build_and_completed_reuse,implemented_tested
P15-037,approved_protocol.method_and_evaluation_matrix.resource_controls.checkpoint+Prompt15 atomicity invariant,adapter._write_parquet_atomic+experiments.atomic_io.atomic_publish,test_atomic_failure_leaves_no_final_or_success+existing atomic_io tests,implemented_tested
P15-038,approved_protocol.method_and_evaluation_matrix.resource_controls.checkpoint+Prompt15 completion invariant,adapter.build_modeling_matrix+adapter.validate_output_manifest,test_manifest_binds_final_status_and_detects_status_after_manifest_bug+test_end_to_end_fixture_build_and_completed_reuse,implemented_tested
P15-039,approved_protocol.dataset_identity+adapter_protocol.included_raw_input_digest+Prompt15 manifest invariant,adapter.validate_output_manifest,test_manifest_binds_final_status_and_detects_status_after_manifest_bug,implemented_tested
P15-040,approved_protocol.method_and_evaluation_matrix.phase_design,contract.load_adapter_contract,test_contract_authentication_and_accounting,implemented_tested_zero_execution
P15-041,root.status canonical_approved_locked_no_execution,scripts.build_homecredit_model_stability_2024 explicit required CLI+inert imports,test_adapter_and_cli_imports_are_inert+static_resource_and_execution_safety_review.json,implemented_tested
P15-042,approved_protocol.adapter_protocol first_by_num_group1+last_by_num_group1,adapter literal ordered null convention recorded in adapter_contract.json,test_literal_null_first_last_and_unicode_mode_tie_break,implemented_tested_protocol_preserving_convention
