method,configuration,dataset,model,direct_comparisons,wins,ties,losses,strong,moderate,weak,not_supported,dev_to_oot_gap,stability_summary,drift_summary,resource_summary,natural_support_summary,cross_dataset_consistency,interpretation
legacy_rf_relevance_corr,k40,homecredit,catboost,2,1,0,1,1,0,0,1,0.01753015558272497,jaccard=0.6216360033213574; kuncheva=0.7430725971370143,score_psi=0.0040562710383503; feature_psi_mean=0.014425281680242612,fit_seconds=1804.3024206161497; peak_rss_bytes=9204674560.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
legacy_rf_relevance_corr,k40,lendingclub_v2,catboost,2,1,0,1,1,0,0,1,-0.01891383576166017,jaccard=0.70913976543807; kuncheva=0.8113188976377952,score_psi=0.0070441626422011; feature_psi_mean=0.0038627319204462248,fit_seconds=2303.4804904460907; peak_rss_bytes=19984916479.999996,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
catboost_shap,k20,homecredit,lr,2,1,0,1,1,0,0,1,0.006802686776905764,jaccard=0.6108460299764646; kuncheva=0.7453732809430256,score_psi=0.0124101217636454; feature_psi_mean=0.009733706868822817,fit_seconds=175.69655060768127; peak_rss_bytes=8518180864.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
catboost_shap,k20,lendingclub_v2,lr,2,1,0,1,1,0,0,1,-0.02203091857294659,jaccard=0.5975126966431314; kuncheva=0.7372137404580152,score_psi=0.0034543426415009; feature_psi_mean=0.0016605107414523128,fit_seconds=490.72421741485596; peak_rss_bytes=24013172735.999996,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
catboost_shap,k40,homecredit,catboost,2,1,0,1,1,0,0,1,0.01568097757138842,jaccard=0.5022971523259339; kuncheva=0.6375971370143149,score_psi=0.0064807585929939; feature_psi_mean=0.010994173790804515,fit_seconds=418.00171470642084; peak_rss_bytes=8516366336.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
catboost_shap,k40,lendingclub_v2,catboost,2,1,0,1,1,0,0,1,-0.016879442907017594,jaccard=0.6054958817762053; kuncheva=0.734251968503937,score_psi=0.0049899340758914; feature_psi_mean=0.001975105487968107,fit_seconds=1672.5325973033905; peak_rss_bytes=25333518336.000004,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
boruta_random_forest,k20,homecredit,lr,2,1,0,1,1,0,0,1,0.013017907039605814,jaccard=0.4335030490870313; kuncheva=0.5686935166994106,score_psi=0.0072198948323135; feature_psi_mean=0.0013654555179130569,fit_seconds=1549.8494119644165; peak_rss_bytes=8517042176.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
boruta_random_forest,k20,lendingclub_v2,lr,2,1,0,1,1,0,0,1,-0.0016533458664771405,jaccard=0.9272727272727274; kuncheva=0.9587786259541986,score_psi=0.0077962742729725; feature_psi_mean=0.0074314925736345145,fit_seconds=9605.813122987747; peak_rss_bytes=22340837376.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
boruta_random_forest,k40,homecredit,catboost,2,1,0,1,1,0,0,1,0.017278124616429413,jaccard=0.3832459024521369; kuncheva=nan,score_psi=0.0035570158374247; feature_psi_mean=0.001720328249043286,fit_seconds=1705.618604183197; peak_rss_bytes=8534106112.0,OOT full-DEV refit realized 40; frozen unpadded reference support remains 26,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
boruta_random_forest,k40,lendingclub_v2,catboost,2,1,0,1,1,0,0,1,-0.014896931905822308,jaccard=0.7293074020105423; kuncheva=0.827263779527559,score_psi=0.0008013149237415; feature_psi_mean=0.0060782145209211675,fit_seconds=10716.240673780441; peak_rss_bytes=26123284479.999996,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
rfe_catboost,k20,homecredit,lr,2,1,0,1,1,0,0,1,0.009330416733255409,jaccard=0.4957820723337964; kuncheva=0.6466404715127703,score_psi=0.0081578340334686; feature_psi_mean=0.038917840068618925,fit_seconds=1086.9565472602844; peak_rss_bytes=8496623616.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
rfe_catboost,k20,lendingclub_v2,lr,2,1,0,1,1,0,0,1,-0.022251664523387338,jaccard=0.4417554348588831; kuncheva=0.5980916030534351,score_psi=0.0050024453527729; feature_psi_mean=0.0015231729634844265,fit_seconds=3027.353635072708; peak_rss_bytes=22483668992.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
rfe_catboost,k40,homecredit,catboost,2,1,0,1,1,0,0,1,0.018464894518934516,jaccard=0.4543431892813805; kuncheva=0.591620654396728,score_psi=0.0062482474155813; feature_psi_mean=0.021797142428935486,fit_seconds=1143.7177374362946; peak_rss_bytes=8528240640.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
rfe_catboost,k40,lendingclub_v2,catboost,2,1,0,1,1,0,0,1,-0.015780564586269752,jaccard=0.461602717412052; kuncheva=0.6066929133858266,score_psi=0.0046065665753922; feature_psi_mean=0.0023574207655678303,fit_seconds=4227.838533163071; peak_rss_bytes=24997699584.000004,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
statistical_normalized_average_rank,k20,homecredit,lr,7,6,0,1,5,0,1,1,0.0058301105143002685,jaccard=0.4994780021466677; kuncheva=0.6466404715127702,score_psi=0.008746236358565057; feature_psi_mean=None,fit_seconds=902.5463090999983; peak_rss_bytes=3677650944.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
statistical_normalized_average_rank,k20,lendingclub_v2,lr,7,4,0,3,4,0,0,3,-0.02407097302389849,jaccard=0.5825769721421895; kuncheva=0.7217557251908396,score_psi=0.014806986471156618; feature_psi_mean=None,fit_seconds=9509.57441219996; peak_rss_bytes=23595495424.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
statistical_normalized_average_rank,k40,homecredit,catboost,7,5,0,2,4,0,1,2,0.01758295025740597,jaccard=0.4692690814229871; kuncheva=0.6051431492842536,score_psi=0.049428340104329546; feature_psi_mean=None,fit_seconds=892.809116999968; peak_rss_bytes=3673305088.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
statistical_normalized_average_rank,k40,lendingclub_v2,catboost,7,4,0,3,4,0,0,3,-0.0168335305233126,jaccard=0.5560287522239963; kuncheva=0.6917322834645669,score_psi=0.0021433532512785515; feature_psi_mean=None,fit_seconds=6368.440881300019; peak_rss_bytes=23593996288.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_then_boruta,pool100,homecredit,lr,2,2,0,0,2,0,0,0,0.016613439510081873,jaccard=0.5221276130828344; kuncheva=None,score_psi=0.01573387001323419; feature_psi_mean=None,fit_seconds=176.27376800001366; peak_rss_bytes=2724077568.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_then_boruta,pool100,homecredit,catboost,2,2,0,0,1,0,1,0,0.02090890601397366,jaccard=0.5221276130828344; kuncheva=None,score_psi=0.040361611776997534; feature_psi_mean=None,fit_seconds=176.27376800001366; peak_rss_bytes=2811527168.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_then_boruta,pool100,lendingclub_v2,lr,2,2,0,0,2,0,0,0,-0.021158087925949642,jaccard=0.843748811894335; kuncheva=None,score_psi=0.014381710709976181; feature_psi_mean=None,fit_seconds=1109.6507069999934; peak_rss_bytes=7333982208.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_then_boruta,pool100,lendingclub_v2,catboost,2,2,0,0,2,0,0,0,-0.015154766697346167,jaccard=0.843748811894335; kuncheva=None,score_psi=0.0017880440950751575; feature_psi_mean=None,fit_seconds=1109.6507069999934; peak_rss_bytes=7333982208.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_then_boruta,pool200,homecredit,lr,2,2,0,0,2,0,0,0,0.018482356390997823,jaccard=0.5145038957335922; kuncheva=None,score_psi=0.018845481057627636; feature_psi_mean=None,fit_seconds=288.8483490999788; peak_rss_bytes=2798465024.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_then_boruta,pool200,homecredit,catboost,2,2,0,0,2,0,0,0,0.025796179866443003,jaccard=0.5145038957335922; kuncheva=None,score_psi=0.015904640672413692; feature_psi_mean=None,fit_seconds=288.8483490999788; peak_rss_bytes=3225952256.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_then_boruta,pool200,lendingclub_v2,lr,2,2,0,0,2,0,0,0,-0.021606183553424252,jaccard=0.8073185541957617; kuncheva=None,score_psi=0.010041883733285895; feature_psi_mean=None,fit_seconds=2029.965376999986; peak_rss_bytes=8457224192.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_then_boruta,pool200,lendingclub_v2,catboost,2,2,0,0,2,0,0,0,-0.015619259938686514,jaccard=0.8073185541957617; kuncheva=None,score_psi=0.0013550272205916337; feature_psi_mean=None,fit_seconds=2029.965376999986; peak_rss_bytes=8457224192.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_then_boruta,pool300,homecredit,lr,2,2,0,0,2,0,0,0,0.019883254525342342,jaccard=0.5326808634194815; kuncheva=None,score_psi=0.02563021748232742; feature_psi_mean=None,fit_seconds=390.66208229999756; peak_rss_bytes=3194458112.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_then_boruta,pool300,homecredit,catboost,2,2,0,0,2,0,0,0,0.026517118960508124,jaccard=0.5326808634194815; kuncheva=None,score_psi=0.023487044594878544; feature_psi_mean=None,fit_seconds=390.66208229999756; peak_rss_bytes=2823467008.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_then_boruta,pool300,lendingclub_v2,lr,2,2,0,0,2,0,0,0,-0.01987269893244037,jaccard=0.790052968123312; kuncheva=None,score_psi=0.00922928501834516; feature_psi_mean=None,fit_seconds=2549.956366700004; peak_rss_bytes=9650401280.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_then_boruta,pool300,lendingclub_v2,catboost,2,2,0,0,2,0,0,0,-0.013475635404836761,jaccard=0.790052968123312; kuncheva=None,score_psi=0.0010053713311595023; feature_psi_mean=None,fit_seconds=2549.956366700004; peak_rss_bytes=9650401280.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
boruta_then_mrmr_mutual_information,k20,homecredit,lr,2,2,0,0,2,0,0,0,0.011055958922358444,jaccard=0.3592520060124587; kuncheva=0.4907465618860511,score_psi=0.007999357696320025; feature_psi_mean=None,fit_seconds=494.45371120003983; peak_rss_bytes=2660405248.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
boruta_then_mrmr_mutual_information,k20,lendingclub_v2,lr,2,2,0,0,2,0,0,0,-0.02181979660795763,jaccard=0.396634629738078; kuncheva=0.5465648854961832,score_psi=0.0101581670563403; feature_psi_mean=None,fit_seconds=3123.0908795999712; peak_rss_bytes=12464017408.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
boruta_then_mrmr_mutual_information,k40,homecredit,catboost,2,2,0,0,2,0,0,0,0.019853647015692255,jaccard=0.4204268136698809; kuncheva=None,score_psi=0.041812743052826236; feature_psi_mean=None,fit_seconds=503.78220119996695; peak_rss_bytes=3045527552.0,OOT full-DEV refit realized 40; frozen unpadded reference support remains 26,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
boruta_then_mrmr_mutual_information,k40,lendingclub_v2,catboost,2,2,0,0,2,0,0,0,-0.020916550205120288,jaccard=0.4339039049220592; kuncheva=0.5721456692913386,score_psi=0.004684232552276229; feature_psi_mean=None,fit_seconds=3354.088856999995; peak_rss_bytes=12464328704.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
boruta_then_rfe_catboost,k20,homecredit,lr,2,2,0,0,1,0,1,0,0.011913224606585837,jaccard=0.410660603764052; kuncheva=0.5634970530451866,score_psi=0.013209323332191658; feature_psi_mean=None,fit_seconds=561.7956110000378; peak_rss_bytes=3050823680.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
boruta_then_rfe_catboost,k20,lendingclub_v2,lr,2,1,0,1,1,0,0,1,-0.024037128851278733,jaccard=0.4333124988964811; kuncheva=0.5877862595419847,score_psi=0.006020729271259518; feature_psi_mean=None,fit_seconds=3353.9150825999677; peak_rss_bytes=12463915008.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
boruta_then_rfe_catboost,k40,homecredit,catboost,2,1,0,1,1,0,0,1,0.02162294479251825,jaccard=0.4410639788915402; kuncheva=None,score_psi=0.023604695926247407; feature_psi_mean=None,fit_seconds=547.0040111000417; peak_rss_bytes=3191750656.0,OOT full-DEV refit realized 40; frozen unpadded reference support remains 26,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
boruta_then_rfe_catboost,k40,lendingclub_v2,catboost,2,1,0,1,1,0,0,1,-0.01470088911983114,jaccard=0.4752853310946657; kuncheva=0.6199803149606299,score_psi=0.0014442830345922184; feature_psi_mean=None,fit_seconds=3315.5976589999627; peak_rss_bytes=12466589696.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
