evidence_cohort,comparison_id,dataset,model,comparator_method_id,reference_method_id,metric,paired_sample_definition,effect_size,ci_lower,ci_upper,raw_p_value,holm_adjusted_p_value,significant,direction,status,reason,interpretation,source_artifact,source_sha256
canonical_llm_matrix_v2,lendingclub_v2__catboost__llm_vs_mrmr,lendingclub_v2,catboost,llm,mrmr,DEV fold AUC,5 registered temporal folds; overlapping training windows,0.0089995260294357,,,0.0625,0.75,False,pipeline_a higher,completed,,pure LLM had higher AUC in 5 folds (0 ties); fold consistency was strong. The exact two-sided p-value was 0.0625; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,D:\python projects\Research_pre_cleanup_backup_20260704\results\finalized_research\final_report_inputs\evidence\significance_results.csv,056fa955b95d74b8ccaf3520ac2ea36ef48b80431edfca1b10734be828e4961c
canonical_llm_matrix_v2,lendingclub_v2__catboost__llm_then_mrmr_vs_mrmr,lendingclub_v2,catboost,llm_then_mrmr,mrmr,DEV fold AUC,5 registered temporal folds; overlapping training windows,0.0014143995742161,,,0.3125,0.9375,False,pipeline_a higher,completed,,LLM-then-mRMR had higher AUC in 3 folds (0 ties); fold consistency was weak. The exact two-sided p-value was 0.3125; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,D:\python projects\Research_pre_cleanup_backup_20260704\results\finalized_research\final_report_inputs\evidence\significance_results.csv,056fa955b95d74b8ccaf3520ac2ea36ef48b80431edfca1b10734be828e4961c
prompt14_classical_extension,p14-b-001__homecredit__lr__iv_woe__k20__vs__full_features,homecredit,lr,iv_woe,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.0333489305677494,-0.0366793658602422,-0.0299044112668745,1.7958342782215e-77,1.0775005669329e-76,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-002__homecredit__lr__mrmr_mutual_information__k20__vs__full_features,homecredit,lr,mrmr_mutual_information,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.0363799981130866,-0.0398318858271661,-0.0330776385162571,9.27951589324167e-90,6.49566112526917e-89,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-003__homecredit__lr__lasso_l1_logistic__k20__vs__full_features,homecredit,lr,lasso_l1_logistic,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.0261463995099912,-0.0293185755084263,-0.0228503929854596,1.28782233349607e-55,3.86346700048822e-55,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-004__homecredit__lr__legacy_rf_relevance_corr__k20__vs__full_features,homecredit,lr,legacy_rf_relevance_corr,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.0267436859411064,-0.0299348587255779,-0.0234928196642991,5.55324674895376e-56,2.22129869958151e-55,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-005__homecredit__lr__catboost_shap__k20__vs__full_features,homecredit,lr,catboost_shap,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.0213659085443158,-0.0244100328437214,-0.018328302077781,1.7998593645845e-40,1.7998593645845e-40,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-006__homecredit__lr__boruta_random_forest__k20__vs__full_features,homecredit,lr,boruta_random_forest,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.0317575156058751,-0.0351483467859747,-0.0283454605327815,1.82378667722411e-73,9.11893338612057e-73,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-007__homecredit__lr__rfe_catboost__k20__vs__full_features,homecredit,lr,rfe_catboost,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.0249496596403955,-0.0282750699653362,-0.0217380382262837,7.34184124012004e-50,1.46836824802401e-49,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-008__homecredit__lr__iv_woe__k20__vs__random_k,homecredit,lr,iv_woe,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.110323055883843,0.104511439848324,0.116088676781672,2.46444968547422e-279,4.92889937094845e-279,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-009__homecredit__lr__mrmr_mutual_information__k20__vs__random_k,homecredit,lr,mrmr_mutual_information,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.107291988338506,0.101421059437838,0.113016368757051,8.94141558457295e-264,8.94141558457295e-264,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-010__homecredit__lr__lasso_l1_logistic__k20__vs__random_k,homecredit,lr,lasso_l1_logistic,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.117525586941602,0.111782359665185,0.123409041046456,6.94742585241372e-312,2.08422775572412e-311,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-011__homecredit__lr__legacy_rf_relevance_corr__k20__vs__random_k,homecredit,lr,legacy_rf_relevance_corr,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.116928300510486,0.111324378913275,0.122632234063881,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-012__homecredit__lr__catboost_shap__k20__vs__random_k,homecredit,lr,catboost_shap,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.122306077907277,0.116536780037254,0.12834973792343,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-013__homecredit__lr__boruta_random_forest__k20__vs__random_k,homecredit,lr,boruta_random_forest,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.111914470845718,0.106487771514559,0.117398709387561,3.30431306011475e-315,1.3217252240459e-314,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-014__homecredit__lr__rfe_catboost__k20__vs__random_k,homecredit,lr,rfe_catboost,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.118722326811197,0.112970035885317,0.124459221290908,9.88131291682493e-323,4.94065645841247e-322,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-015__homecredit__catboost__iv_woe__k40__vs__full_features,homecredit,catboost,iv_woe,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.0174613021933091,-0.0193834384105195,-0.0153899254493002,2.30936237634765e-61,9.2374495053906e-61,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-016__homecredit__catboost__mrmr_mutual_information__k40__vs__full_features,homecredit,catboost,mrmr_mutual_information,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.026133228502534,-0.0286488592515626,-0.023636320701417,2.64408512537575e-96,1.58645107522545e-95,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-017__homecredit__catboost__lasso_l1_logistic__k40__vs__full_features,homecredit,catboost,lasso_l1_logistic,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.0118058013721562,-0.0135847682977208,-0.0099757770411035,1.2652970627064e-35,3.79589118811921e-35,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-018__homecredit__catboost__legacy_rf_relevance_corr__k40__vs__full_features,homecredit,catboost,legacy_rf_relevance_corr,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.0162274588458524,-0.0181391571754652,-0.0143539820817835,9.07949701926927e-62,4.53974850963464e-61,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-019__homecredit__catboost__catboost_shap__k40__vs__full_features,homecredit,catboost,catboost_shap,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.0064968129849202,-0.0082595331085531,-0.0048071312328367,4.79656497730373e-14,9.59312995460746e-14,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-020__homecredit__catboost__boruta_random_forest__k40__vs__full_features,homecredit,catboost,boruta_random_forest,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.0318295132064768,-0.0345040379312011,-0.0289779865630486,6.18734343692172e-113,4.3311404058452e-112,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-021__homecredit__catboost__rfe_catboost__k40__vs__full_features,homecredit,catboost,rfe_catboost,full_features,roc_auc,identical 120053 OOT rows / 10688 events,-0.0046064887438125,-0.0060539499753408,-0.0032312785150108,2.01969711303657e-10,2.01969711303657e-10,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-022__homecredit__catboost__iv_woe__k40__vs__random_k,homecredit,catboost,iv_woe,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.0831774482512139,0.0786130635279982,0.0880413755664846,1.42711145980603e-232,4.2813343794181e-232,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-023__homecredit__catboost__mrmr_mutual_information__k40__vs__random_k,homecredit,catboost,mrmr_mutual_information,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.074505521941989,0.0695711389977212,0.0796466523389237,4.66643343524752e-174,9.33286687049503e-174,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-024__homecredit__catboost__lasso_l1_logistic__k40__vs__random_k,homecredit,catboost,lasso_l1_logistic,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.0888329490723668,0.0842355462640587,0.0936484427891918,5.26529263390769e-266,2.63264631695385e-265,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-025__homecredit__catboost__legacy_rf_relevance_corr__k40__vs__random_k,homecredit,catboost,legacy_rf_relevance_corr,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.0844112915986706,0.079775265070856,0.0892991258901411,6.81262464022569e-245,2.72504985609028e-244,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-026__homecredit__catboost__catboost_shap__k40__vs__random_k,homecredit,catboost,catboost_shap,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.0941419374596028,0.0894159435530769,0.0991401132230977,5.82713164544046e-289,3.49627898726428e-288,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-027__homecredit__catboost__boruta_random_forest__k40__vs__random_k,homecredit,catboost,boruta_random_forest,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.0688092372380462,0.0636509318319881,0.0738131141750581,8.9114526267374e-137,8.9114526267374e-137,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-028__homecredit__catboost__rfe_catboost__k40__vs__random_k,homecredit,catboost,rfe_catboost,random_k,roc_auc,identical 120053 OOT rows / 10688 events,0.0960322617007105,0.0915434736026164,0.100796804779722,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-029__lendingclub_v2__lr__iv_woe__k20__vs__full_features,lendingclub_v2,lr,iv_woe,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.0287773793988104,-0.0301453481422966,-0.0273358852831223,0,0,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-030__lendingclub_v2__lr__mrmr_mutual_information__k20__vs__full_features,lendingclub_v2,lr,mrmr_mutual_information,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.0249636294707117,-0.0263529882308993,-0.0235575508813433,3.40681151659993e-261,1.36272460663997e-260,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-031__lendingclub_v2__lr__lasso_l1_logistic__k20__vs__full_features,lendingclub_v2,lr,lasso_l1_logistic,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.0297837260566403,-0.0312662690741394,-0.0282288277003122,1.14048128662301e-308,5.70240643311507e-308,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-032__lendingclub_v2__lr__legacy_rf_relevance_corr__k20__vs__full_features,lendingclub_v2,lr,legacy_rf_relevance_corr,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.0193415300436913,-0.0206197746663669,-0.0180001374340439,1.33235554844307e-189,3.99706664532921e-189,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-033__lendingclub_v2__lr__catboost_shap__k20__vs__full_features,lendingclub_v2,lr,catboost_shap,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.014345090313824,-0.0154988190819836,-0.0131237408415745,1.11640892444659e-124,2.23281784889318e-124,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-034__lendingclub_v2__lr__boruta_random_forest__k20__vs__full_features,lendingclub_v2,lr,boruta_random_forest,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.0551395840494969,-0.0571599725116235,-0.0528811319765242,0,0,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-035__lendingclub_v2__lr__rfe_catboost__k20__vs__full_features,lendingclub_v2,lr,rfe_catboost,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.0120066659443573,-0.0131464183976196,-0.0108416543386607,3.47643555515263e-91,3.47643555515263e-91,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-036__lendingclub_v2__lr__iv_woe__k20__vs__random_k,lendingclub_v2,lr,iv_woe,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0782881036282782,0.0755848127528753,0.0809821170673875,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-037__lendingclub_v2__lr__mrmr_mutual_information__k20__vs__random_k,lendingclub_v2,lr,mrmr_mutual_information,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0821018535563768,0.0793995942803791,0.0846171224946207,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-038__lendingclub_v2__lr__lasso_l1_logistic__k20__vs__random_k,lendingclub_v2,lr,lasso_l1_logistic,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0772817569704482,0.0744755914493958,0.0800761925992368,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-039__lendingclub_v2__lr__legacy_rf_relevance_corr__k20__vs__random_k,lendingclub_v2,lr,legacy_rf_relevance_corr,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0877239529833973,0.0851277534233081,0.0902835814372578,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-040__lendingclub_v2__lr__catboost_shap__k20__vs__random_k,lendingclub_v2,lr,catboost_shap,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0927203927132646,0.0900488343128281,0.0954102826609225,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-041__lendingclub_v2__lr__boruta_random_forest__k20__vs__random_k,lendingclub_v2,lr,boruta_random_forest,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0519258989775917,0.0496643453337608,0.0542429628994811,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-042__lendingclub_v2__lr__rfe_catboost__k20__vs__random_k,lendingclub_v2,lr,rfe_catboost,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0950588170827312,0.0924739374358193,0.097648481699416,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-043__lendingclub_v2__catboost__iv_woe__k40__vs__full_features,lendingclub_v2,catboost,iv_woe,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.020300546554716,-0.0211619891899738,-0.0194308955964157,0,0,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
