dataset,model,method_a,method_b,intersection_count,union_count,jaccard,comparison_scope
homecredit,catboost,llm_then_mrmr,boruta,12,68,0.176470588235294,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_mrmr,domain_rule_baseline,8,72,0.111111111111111,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_mrmr,llm,19,61,0.311475409836066,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_mrmr,llm_then_boruta,26,54,0.481481481481481,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_mrmr,llm_then_mrmr,40,40,1,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_mrmr,mrmr,17,63,0.26984126984127,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_mrmr,pca,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_mrmr,stable_core_llm_fill,19,61,0.311475409836066,within-dataset compatible original-feature universe
homecredit,catboost,mrmr,boruta,10,70,0.142857142857143,within-dataset compatible original-feature universe
homecredit,catboost,mrmr,domain_rule_baseline,8,72,0.111111111111111,within-dataset compatible original-feature universe
homecredit,catboost,mrmr,llm,10,70,0.142857142857143,within-dataset compatible original-feature universe
homecredit,catboost,mrmr,llm_then_boruta,11,69,0.159420289855072,within-dataset compatible original-feature universe
homecredit,catboost,mrmr,llm_then_mrmr,17,63,0.26984126984127,within-dataset compatible original-feature universe
homecredit,catboost,mrmr,mrmr,40,40,1,within-dataset compatible original-feature universe
homecredit,catboost,mrmr,pca,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,mrmr,stable_core_llm_fill,30,50,0.6,within-dataset compatible original-feature universe
homecredit,catboost,pca,boruta,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,pca,domain_rule_baseline,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,pca,llm,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,pca,llm_then_boruta,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,pca,llm_then_mrmr,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,pca,mrmr,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,pca,pca,40,40,1,within-dataset compatible original-feature universe
homecredit,catboost,pca,stable_core_llm_fill,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,stable_core_llm_fill,boruta,13,67,0.194029850746269,within-dataset compatible original-feature universe
homecredit,catboost,stable_core_llm_fill,domain_rule_baseline,9,71,0.126760563380282,within-dataset compatible original-feature universe
homecredit,catboost,stable_core_llm_fill,llm,19,61,0.311475409836066,within-dataset compatible original-feature universe
homecredit,catboost,stable_core_llm_fill,llm_then_boruta,17,63,0.26984126984127,within-dataset compatible original-feature universe
homecredit,catboost,stable_core_llm_fill,llm_then_mrmr,19,61,0.311475409836066,within-dataset compatible original-feature universe
homecredit,catboost,stable_core_llm_fill,mrmr,30,50,0.6,within-dataset compatible original-feature universe
homecredit,catboost,stable_core_llm_fill,pca,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,stable_core_llm_fill,stable_core_llm_fill,40,40,1,within-dataset compatible original-feature universe
homecredit,lr,boruta,boruta,20,20,1,within-dataset compatible original-feature universe
homecredit,lr,boruta,domain_rule_baseline,5,35,0.142857142857143,within-dataset compatible original-feature universe
homecredit,lr,boruta,llm,4,36,0.111111111111111,within-dataset compatible original-feature universe
homecredit,lr,boruta,llm_then_boruta,9,31,0.290322580645161,within-dataset compatible original-feature universe
homecredit,lr,boruta,llm_then_mrmr,3,37,0.0810810810810811,within-dataset compatible original-feature universe
homecredit,lr,boruta,mrmr,1,39,0.0256410256410256,within-dataset compatible original-feature universe
homecredit,lr,boruta,pca,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,boruta,stable_core_llm_fill,2,38,0.0526315789473684,within-dataset compatible original-feature universe
homecredit,lr,domain_rule_baseline,boruta,5,35,0.142857142857143,within-dataset compatible original-feature universe
homecredit,lr,domain_rule_baseline,domain_rule_baseline,20,20,1,within-dataset compatible original-feature universe
homecredit,lr,domain_rule_baseline,llm,3,37,0.0810810810810811,within-dataset compatible original-feature universe
homecredit,lr,domain_rule_baseline,llm_then_boruta,1,39,0.0256410256410256,within-dataset compatible original-feature universe
homecredit,lr,domain_rule_baseline,llm_then_mrmr,4,36,0.111111111111111,within-dataset compatible original-feature universe
homecredit,lr,domain_rule_baseline,mrmr,3,37,0.0810810810810811,within-dataset compatible original-feature universe
homecredit,lr,domain_rule_baseline,pca,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,domain_rule_baseline,stable_core_llm_fill,3,37,0.0810810810810811,within-dataset compatible original-feature universe
homecredit,lr,llm,boruta,4,36,0.111111111111111,within-dataset compatible original-feature universe
homecredit,lr,llm,domain_rule_baseline,3,37,0.0810810810810811,within-dataset compatible original-feature universe
homecredit,lr,llm,llm,20,20,1,within-dataset compatible original-feature universe
homecredit,lr,llm,llm_then_boruta,8,32,0.25,within-dataset compatible original-feature universe
homecredit,lr,llm,llm_then_mrmr,9,31,0.290322580645161,within-dataset compatible original-feature universe
homecredit,lr,llm,mrmr,5,35,0.142857142857143,within-dataset compatible original-feature universe
homecredit,lr,llm,pca,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,llm,stable_core_llm_fill,10,30,0.333333333333333,within-dataset compatible original-feature universe
homecredit,lr,llm_then_boruta,boruta,9,31,0.290322580645161,within-dataset compatible original-feature universe
homecredit,lr,llm_then_boruta,domain_rule_baseline,1,39,0.0256410256410256,within-dataset compatible original-feature universe
homecredit,lr,llm_then_boruta,llm,8,32,0.25,within-dataset compatible original-feature universe
homecredit,lr,llm_then_boruta,llm_then_boruta,20,20,1,within-dataset compatible original-feature universe
homecredit,lr,llm_then_boruta,llm_then_mrmr,6,34,0.176470588235294,within-dataset compatible original-feature universe
homecredit,lr,llm_then_boruta,mrmr,2,38,0.0526315789473684,within-dataset compatible original-feature universe
homecredit,lr,llm_then_boruta,pca,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,llm_then_boruta,stable_core_llm_fill,4,36,0.111111111111111,within-dataset compatible original-feature universe
homecredit,lr,llm_then_mrmr,boruta,3,37,0.0810810810810811,within-dataset compatible original-feature universe
homecredit,lr,llm_then_mrmr,domain_rule_baseline,4,36,0.111111111111111,within-dataset compatible original-feature universe
homecredit,lr,llm_then_mrmr,llm,9,31,0.290322580645161,within-dataset compatible original-feature universe
homecredit,lr,llm_then_mrmr,llm_then_boruta,6,34,0.176470588235294,within-dataset compatible original-feature universe
homecredit,lr,llm_then_mrmr,llm_then_mrmr,20,20,1,within-dataset compatible original-feature universe
homecredit,lr,llm_then_mrmr,mrmr,9,31,0.290322580645161,within-dataset compatible original-feature universe
homecredit,lr,llm_then_mrmr,pca,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,llm_then_mrmr,stable_core_llm_fill,9,31,0.290322580645161,within-dataset compatible original-feature universe
homecredit,lr,mrmr,boruta,1,39,0.0256410256410256,within-dataset compatible original-feature universe
homecredit,lr,mrmr,domain_rule_baseline,3,37,0.0810810810810811,within-dataset compatible original-feature universe
homecredit,lr,mrmr,llm,5,35,0.142857142857143,within-dataset compatible original-feature universe
homecredit,lr,mrmr,llm_then_boruta,2,38,0.0526315789473684,within-dataset compatible original-feature universe
homecredit,lr,mrmr,llm_then_mrmr,9,31,0.290322580645161,within-dataset compatible original-feature universe
homecredit,lr,mrmr,mrmr,20,20,1,within-dataset compatible original-feature universe
homecredit,lr,mrmr,pca,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,mrmr,stable_core_llm_fill,14,26,0.538461538461538,within-dataset compatible original-feature universe
homecredit,lr,pca,boruta,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,pca,domain_rule_baseline,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,pca,llm,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,pca,llm_then_boruta,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,pca,llm_then_mrmr,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,pca,mrmr,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,pca,pca,20,20,1,within-dataset compatible original-feature universe
homecredit,lr,pca,stable_core_llm_fill,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,stable_core_llm_fill,boruta,2,38,0.0526315789473684,within-dataset compatible original-feature universe
homecredit,lr,stable_core_llm_fill,domain_rule_baseline,3,37,0.0810810810810811,within-dataset compatible original-feature universe
homecredit,lr,stable_core_llm_fill,llm,10,30,0.333333333333333,within-dataset compatible original-feature universe
homecredit,lr,stable_core_llm_fill,llm_then_boruta,4,36,0.111111111111111,within-dataset compatible original-feature universe
homecredit,lr,stable_core_llm_fill,llm_then_mrmr,9,31,0.290322580645161,within-dataset compatible original-feature universe
homecredit,lr,stable_core_llm_fill,mrmr,14,26,0.538461538461538,within-dataset compatible original-feature universe
homecredit,lr,stable_core_llm_fill,pca,0,40,0,within-dataset compatible original-feature universe
homecredit,lr,stable_core_llm_fill,stable_core_llm_fill,20,20,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,catboost_shap,catboost_shap,40,40,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,catboost_shap,full_features,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,catboost_shap,iv_then_boruta,27,246,0.109756097560976,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,catboost_shap,iv_woe,9,71,0.126760563380282,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,catboost_shap,legacy_rf_relevance_corr,15,65,0.230769230769231,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,catboost_shap,llm,4,76,0.0526315789473684,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,catboost_shap,mrmr_mutual_information,3,77,0.038961038961039,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,catboost_shap,random_k,1,79,0.0126582278481013,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,catboost_shap,rfe_catboost,24,56,0.428571428571429,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,catboost_shap,stable_core_llm_fill,14,66,0.212121212121212,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,full_features,catboost_shap,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,full_features,full_features,1959,1959,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,full_features,iv_then_boruta,233,1959,0.118938233792751,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,full_features,iv_woe,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,full_features,legacy_rf_relevance_corr,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,full_features,llm,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,full_features,mrmr_mutual_information,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,full_features,random_k,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,full_features,rfe_catboost,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,full_features,stable_core_llm_fill,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_then_boruta,catboost_shap,27,246,0.109756097560976,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_then_boruta,full_features,233,1959,0.118938233792751,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_then_boruta,iv_then_boruta,233,233,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_then_boruta,iv_woe,40,233,0.171673819742489,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_then_boruta,legacy_rf_relevance_corr,33,240,0.1375,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_then_boruta,llm,20,253,0.0790513833992095,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_then_boruta,mrmr_mutual_information,8,265,0.030188679245283,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_then_boruta,random_k,5,268,0.0186567164179104,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_then_boruta,rfe_catboost,30,243,0.123456790123457,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_then_boruta,stable_core_llm_fill,32,241,0.132780082987552,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_woe,catboost_shap,9,71,0.126760563380282,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_woe,full_features,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_woe,iv_then_boruta,40,233,0.171673819742489,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_woe,iv_woe,40,40,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_woe,legacy_rf_relevance_corr,17,63,0.26984126984127,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_woe,llm,10,70,0.142857142857143,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_woe,mrmr_mutual_information,2,78,0.0256410256410256,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_woe,random_k,1,79,0.0126582278481013,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_woe,rfe_catboost,10,70,0.142857142857143,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,iv_woe,stable_core_llm_fill,14,66,0.212121212121212,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,legacy_rf_relevance_corr,catboost_shap,15,65,0.230769230769231,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,legacy_rf_relevance_corr,full_features,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,legacy_rf_relevance_corr,iv_then_boruta,33,240,0.1375,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,legacy_rf_relevance_corr,iv_woe,17,63,0.26984126984127,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,legacy_rf_relevance_corr,legacy_rf_relevance_corr,40,40,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,legacy_rf_relevance_corr,llm,7,73,0.0958904109589041,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,legacy_rf_relevance_corr,mrmr_mutual_information,3,77,0.038961038961039,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,legacy_rf_relevance_corr,random_k,1,79,0.0126582278481013,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,legacy_rf_relevance_corr,rfe_catboost,14,66,0.212121212121212,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,legacy_rf_relevance_corr,stable_core_llm_fill,28,52,0.538461538461538,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,llm,catboost_shap,4,76,0.0526315789473684,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,llm,full_features,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,llm,iv_then_boruta,20,253,0.0790513833992095,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,llm,iv_woe,10,70,0.142857142857143,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,llm,legacy_rf_relevance_corr,7,73,0.0958904109589041,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,llm,llm,40,40,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,llm,mrmr_mutual_information,2,78,0.0256410256410256,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,llm,random_k,1,79,0.0126582278481013,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,llm,rfe_catboost,3,77,0.038961038961039,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,llm,stable_core_llm_fill,14,66,0.212121212121212,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,mrmr_mutual_information,catboost_shap,3,77,0.038961038961039,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,mrmr_mutual_information,full_features,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,mrmr_mutual_information,iv_then_boruta,8,265,0.030188679245283,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,mrmr_mutual_information,iv_woe,2,78,0.0256410256410256,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,mrmr_mutual_information,legacy_rf_relevance_corr,3,77,0.038961038961039,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,mrmr_mutual_information,llm,2,78,0.0256410256410256,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,mrmr_mutual_information,mrmr_mutual_information,40,40,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,mrmr_mutual_information,random_k,2,78,0.0256410256410256,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,mrmr_mutual_information,rfe_catboost,2,78,0.0256410256410256,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,mrmr_mutual_information,stable_core_llm_fill,3,77,0.038961038961039,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,random_k,catboost_shap,1,79,0.0126582278481013,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,random_k,full_features,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,random_k,iv_then_boruta,5,268,0.0186567164179104,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,random_k,iv_woe,1,79,0.0126582278481013,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,random_k,legacy_rf_relevance_corr,1,79,0.0126582278481013,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,random_k,llm,1,79,0.0126582278481013,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,random_k,mrmr_mutual_information,2,78,0.0256410256410256,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,random_k,random_k,40,40,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,random_k,rfe_catboost,1,79,0.0126582278481013,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,random_k,stable_core_llm_fill,2,78,0.0256410256410256,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,rfe_catboost,catboost_shap,24,56,0.428571428571429,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,rfe_catboost,full_features,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,rfe_catboost,iv_then_boruta,30,243,0.123456790123457,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,rfe_catboost,iv_woe,10,70,0.142857142857143,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,rfe_catboost,legacy_rf_relevance_corr,14,66,0.212121212121212,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,rfe_catboost,llm,3,77,0.038961038961039,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,rfe_catboost,mrmr_mutual_information,2,78,0.0256410256410256,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,rfe_catboost,random_k,1,79,0.0126582278481013,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,rfe_catboost,rfe_catboost,40,40,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,rfe_catboost,stable_core_llm_fill,13,67,0.194029850746269,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,stable_core_llm_fill,catboost_shap,14,66,0.212121212121212,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,stable_core_llm_fill,full_features,40,1959,0.0204185809086268,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,stable_core_llm_fill,iv_then_boruta,32,241,0.132780082987552,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,stable_core_llm_fill,iv_woe,14,66,0.212121212121212,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,stable_core_llm_fill,legacy_rf_relevance_corr,28,52,0.538461538461538,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,stable_core_llm_fill,llm,14,66,0.212121212121212,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,stable_core_llm_fill,mrmr_mutual_information,3,77,0.038961038961039,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,stable_core_llm_fill,random_k,2,78,0.0256410256410256,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,stable_core_llm_fill,rfe_catboost,13,67,0.194029850746269,within-dataset compatible original-feature universe
homecredit_model_stability_2024,catboost,stable_core_llm_fill,stable_core_llm_fill,40,40,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,catboost_shap,catboost_shap,20,20,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,catboost_shap,full_features,20,1959,0.0102092904543134,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,catboost_shap,iv_then_boruta,12,241,0.0497925311203319,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,catboost_shap,iv_woe,3,37,0.0810810810810811,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,catboost_shap,legacy_rf_relevance_corr,5,35,0.142857142857143,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,catboost_shap,llm,1,39,0.0256410256410256,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,catboost_shap,mrmr_mutual_information,1,39,0.0256410256410256,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,catboost_shap,random_k,0,40,0,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,catboost_shap,rfe_catboost,7,33,0.212121212121212,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,catboost_shap,stable_core_llm_fill,3,37,0.0810810810810811,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,full_features,catboost_shap,20,1959,0.0102092904543134,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,full_features,full_features,1959,1959,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,full_features,iv_then_boruta,233,1959,0.118938233792751,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,full_features,iv_woe,20,1959,0.0102092904543134,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,full_features,legacy_rf_relevance_corr,20,1959,0.0102092904543134,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,full_features,llm,20,1959,0.0102092904543134,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,full_features,mrmr_mutual_information,20,1959,0.0102092904543134,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,full_features,random_k,20,1959,0.0102092904543134,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,full_features,rfe_catboost,20,1959,0.0102092904543134,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,full_features,stable_core_llm_fill,20,1959,0.0102092904543134,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,iv_then_boruta,catboost_shap,12,241,0.0497925311203319,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,iv_then_boruta,full_features,233,1959,0.118938233792751,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,iv_then_boruta,iv_then_boruta,233,233,1,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,iv_then_boruta,iv_woe,20,233,0.0858369098712446,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,iv_then_boruta,legacy_rf_relevance_corr,18,235,0.0765957446808511,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,iv_then_boruta,llm,15,238,0.0630252100840336,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,iv_then_boruta,mrmr_mutual_information,6,247,0.0242914979757085,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,iv_then_boruta,random_k,2,251,0.00796812749003984,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,iv_then_boruta,rfe_catboost,18,235,0.0765957446808511,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,iv_then_boruta,stable_core_llm_fill,17,236,0.0720338983050847,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,iv_woe,catboost_shap,3,37,0.0810810810810811,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,iv_woe,full_features,20,1959,0.0102092904543134,within-dataset compatible original-feature universe
homecredit_model_stability_2024,lr,iv_woe,iv_then_boruta,20,233,0.0858369098712446,within-dataset compatible original-feature universe
