source_table_family,relational_depth,feature_name,description,observed_dtype,logical_type,intended_aggregation,decision_time_availability,action,reason,deterministic_output_prefix
applprev,1,credacc_credlmt_575A,Credit card credit limit provided for previous applications.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__credacc_credlmt_575A
applprev,1,credacc_maxhisbal_375A,Maximal historical balance of previous credit account,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__credacc_maxhisbal_375A
applprev,1,credacc_minhisbal_90A,Minimum historical balance of previous credit accounts.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__credacc_minhisbal_90A
applprev,1,credacc_status_367L,Account status of previous credit applications.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__credacc_status_367L
applprev,1,credacc_transactions_402L,Number of transactions made with the previous credit account of the applicant.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__credacc_transactions_402L
applprev,1,credamount_590A,Loan amount or card limit of previous applications.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__credamount_590A
applprev,1,credtype_587L,Credit type of previous application.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__credtype_587L
applprev,1,currdebt_94A,Previous application's current debt.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__currdebt_94A
applprev,1,dateactivated_425D,Contract activation date of the applicant's previous application.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__dateactivated_425D
applprev,1,district_544M,District of the address used in the previous loan application.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__district_544M
applprev,1,downpmt_134A,Previous application downpayment amount.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__downpmt_134A
applprev,1,dtlastpmt_581D,Date of last payment made by the applicant.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__dtlastpmt_581D
applprev,1,dtlastpmtallstes_3545839D,Date of the applicant's last payment.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__dtlastpmtallstes_3545839D
applprev,1,education_1138M,Applicant's education level from their previous application.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__education_1138M
applprev,1,employedfrom_700D,Employment start date from the previous application.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__employedfrom_700D
applprev,1,familystate_726L,Family State in previous application of applicant.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__familystate_726L
applprev,1,firstnonzeroinstldate_307D,Date of first instalment in the previous application.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__firstnonzeroinstldate_307D
applprev,1,inittransactioncode_279L,Type of the initial transaction made in the previous application of the client.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__inittransactioncode_279L
applprev,1,isbidproduct_390L,Flag for determining if the product is a cross-sell in previous applications.,bool,boolean,count_non_missing|missing_count|false_count|true_count|mean|first_by_num_group1|last_by_num_group1|any|all,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__isbidproduct_390L
applprev,1,isdebitcard_527L,Previous application flag indicating if product being applied for is a debit card.,bool,boolean,count_non_missing|missing_count|false_count|true_count|mean|first_by_num_group1|last_by_num_group1|any|all,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__isdebitcard_527L
applprev,1,mainoccupationinc_437A,Client's main income amount in their previous application.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__mainoccupationinc_437A
applprev,1,maxdpdtolerance_577P,Maximum DPD with tolerance (on previous application/s).,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__maxdpdtolerance_577P
applprev,1,num_group1,Relational row-order/group identifier.,int64,order_identifier,stable_sort_key_only_not_aggregated_as_measurement,relational_order_identifier_not_predictor,exclude,row/group order identifier; used only for deterministic ordering,
applprev,1,outstandingdebt_522A,Amount of outstanding debt on the client's previous application.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__outstandingdebt_522A
applprev,1,pmtnum_8L,Number of payments made for the previous application.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__pmtnum_8L
applprev,1,postype_4733339M,Type of point of sale.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__postype_4733339M
applprev,1,profession_152M,Profession of the client during their previous loan application.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__profession_152M
applprev,1,rejectreason_755M,Reason for previous application rejection.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__rejectreason_755M
applprev,1,rejectreasonclient_4145042M,Reason for rejection of the client's previous application.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__rejectreasonclient_4145042M
applprev,1,revolvingaccount_394A,Revolving account that was present in the applicant's previous application.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__revolvingaccount_394A
applprev,1,status_219L,Previous application status.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__status_219L
applprev,1,tenor_203L,Number of instalments in the previous application.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__tenor_203L
credit_bureau_a,1,case_id,Stable case identifier.,int64,identifier,group_key_only,structural_identifier_not_predictor,exclude,stable row/join identifier; predictor use forbidden,
credit_bureau_a,1,annualeffectiverate_199L,Interest rate of the closed contracts.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__annualeffectiverate_199L
credit_bureau_a,1,annualeffectiverate_63L,Interest rate for the active contracts.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__annualeffectiverate_63L
credit_bureau_a,1,classificationofcontr_13M,Classificiation of the active contract.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__classificationofcontr_13M
credit_bureau_a,1,classificationofcontr_400M,Classificiation of the closed contract.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__classificationofcontr_400M
credit_bureau_a,1,contractst_545M,Contract status.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__contractst_545M
credit_bureau_a,1,contractst_964M,Contract status of terminated credit contract.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__contractst_964M
credit_bureau_a,1,contractsum_5085717L,Sum of other contract values.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__contractsum_5085717L
credit_bureau_a,1,credlmt_230A,Credit limit of the closed credit contracts from credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__credlmt_230A
credit_bureau_a,1,credlmt_935A,Credit limit for active loan.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__credlmt_935A
credit_bureau_a,1,dateofcredend_289D,End date of an active credit contract.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__dateofcredend_289D
credit_bureau_a,1,dateofcredend_353D,End date of a closed credit contract.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__dateofcredend_353D
credit_bureau_a,1,dateofcredstart_181D,Date when the credit contract was closed.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__dateofcredstart_181D
credit_bureau_a,1,dateofcredstart_739D,Start date of a closed credit contract.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__dateofcredstart_739D
credit_bureau_a,1,dateofrealrepmt_138D,Date of credit's closure (contract termination date).,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__dateofrealrepmt_138D
credit_bureau_a,1,debtoutstand_525A,Outstanding amount of existing contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__debtoutstand_525A
credit_bureau_a,1,debtoverdue_47A,Amount that is currently past due on a client's existing credit contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__debtoverdue_47A
credit_bureau_a,1,description_351M,Categorization of clients by credit bureau.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__description_351M
credit_bureau_a,1,dpdmax_139P,Maximal days past due for active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__dpdmax_139P
credit_bureau_a,1,dpdmax_757P,Maximum days past due for a closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__dpdmax_757P
credit_bureau_a,1,dpdmaxdatemonth_442T,Max DPD occurrence month for terminated contracts from credit bureau data.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__dpdmaxdatemonth_442T
credit_bureau_a,1,dpdmaxdatemonth_89T,Month when maximum days past due occurred on the active contract with the credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__dpdmaxdatemonth_89T
credit_bureau_a,1,dpdmaxdateyear_596T,Year when maximum Days Past Due (DPD) occurred for the active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__dpdmaxdateyear_596T
credit_bureau_a,1,dpdmaxdateyear_896T,Year of maximum Days Past Due of closed contract obtained from Credit Bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__dpdmaxdateyear_896T
credit_bureau_a,1,financialinstitution_382M,Name of financial institution that is linked to a closed contract.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__financialinstitution_382M
credit_bureau_a,1,financialinstitution_591M,Financial institution name of the active contract.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__financialinstitution_591M
credit_bureau_a,1,instlamount_768A,Instalment amount for the active contract in credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__instlamount_768A
credit_bureau_a,1,instlamount_852A,Instalment amount for closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__instlamount_852A
credit_bureau_a,1,interestrate_508L,Interest rate for a closed contract in the credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__interestrate_508L
credit_bureau_a,1,lastupdate_1112D,Date of last update for an active contract from credit bureau.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__lastupdate_1112D
credit_bureau_a,1,lastupdate_388D,Date of last update for a closed contract in the credit bureau.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__lastupdate_388D
credit_bureau_a,1,monthlyinstlamount_332A,Monthly instalment amount for active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__monthlyinstlamount_332A
credit_bureau_a,1,monthlyinstlamount_674A,Monthly amount of instalment payment on a closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__monthlyinstlamount_674A
credit_bureau_a,1,nominalrate_281L,Interest rate of the active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__nominalrate_281L
credit_bureau_a,1,nominalrate_498L,Interest rate for closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__nominalrate_498L
credit_bureau_a,1,num_group1,Relational row-order/group identifier.,int64,order_identifier,stable_sort_key_only_not_aggregated_as_measurement,relational_order_identifier_not_predictor,exclude,row/group order identifier; used only for deterministic ordering,
credit_bureau_a,1,numberofcontrsvalue_258L,Number of active contracts in credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__numberofcontrsvalue_258L
credit_bureau_a,1,numberofcontrsvalue_358L,Number of closed credit contracts.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__numberofcontrsvalue_358L
credit_bureau_a,1,numberofinstls_229L,Number of instalments on closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__numberofinstls_229L
credit_bureau_a,1,numberofinstls_320L,Number of instalments of the active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__numberofinstls_320L
credit_bureau_a,1,numberofoutstandinstls_520L,Number of outstanding instalment for closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__numberofoutstandinstls_520L
credit_bureau_a,1,numberofoutstandinstls_59L,Number of outstanding instalments for the active contracts.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__numberofoutstandinstls_59L
credit_bureau_a,1,numberofoverdueinstlmax_1039L,Number of outstanding instalments for active contracts.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__numberofoverdueinstlmax_1039L
credit_bureau_a,1,numberofoverdueinstlmax_1151L,Maximum number of past due installments for a closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__numberofoverdueinstlmax_1151L
credit_bureau_a,1,numberofoverdueinstlmaxdat_148D,Date of maximum number of past due instalments for the closed contract.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__numberofoverdueinstlmaxdat_148D
credit_bureau_a,1,numberofoverdueinstlmaxdat_641D,Date of maximum number of past due instalments for the active contract.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__numberofoverdueinstlmaxdat_641D
credit_bureau_a,1,numberofoverdueinstls_725L,Maximum number of past due instalments for an active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__numberofoverdueinstls_725L
credit_bureau_a,1,numberofoverdueinstls_834L,Number of past due instalments for a closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__numberofoverdueinstls_834L
