path,category,size_bytes,sha256_or_directory_digest,reason,replacement_path,registry_references,manifest_references,pending_task_dependency,deletion_confidence
configs/clip/selector.yaml,UNUSED_CODE,1311,10021cbf34abb4b33b00543738327b118e73f122ee3811c369192511259865d7,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
configs/clip/statistical_baseline.yaml,UNUSED_CODE,2280,94a4b98aae8f788b7d8f385b4a3be389ad3dd1529a66ea737e662a5b11418a39,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
configs/clip/training.yaml,UNUSED_CODE,2429,5111f9b0b675e773fdbeb4c2b6ccefdb3325fccd32cff85be7842afd3f5b1a33,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
configs/clip_v2/analysis.yaml,UNUSED_CODE,411,559ec0302d5b495a316b903ab490797b62e7a147c1a85273225d632afbeec327,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
configs/clip_v2/contrastive_data.yaml,UNUSED_CODE,2858,c0774aac489d4c45952f39ef389f529932dde8cf6bd02bc2fa3bd21f25cc1018,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
configs/clip_v2/evaluation.yaml,UNUSED_CODE,444,0e876d9b902f97cb2026cf68261b2ea6d7e23d4a554e3cfe3901a020144fb35e,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
configs/clip_v2/selector.yaml,UNUSED_CODE,1591,8526ec8840492f6c42bb44f874f0c17ea6f70416f42fdb98b21d48a69f5ab7d8,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
configs/clip_v2/training.yaml,UNUSED_CODE,2559,a066cb6948ba42642f7f1be25fecdff764c72f8ad2d9fbbca139f4cd2bf810d4,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
configs/experiments/clip_homecredit_matrix.yaml,UNUSED_CODE,403,6d5ecdfbd116d21b50ea2a2303d3dc28a53e638348d69699ff1c468ec2dba974,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
configs/experiments/clip_lendingclub_v2_matrix.yaml,UNUSED_CODE,469,d3951ff9d53c0974d4ca3f42b4350f86b98fa4d9bf54994e5a324082277441bd,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
credit_risk_fs/__pycache__,TEMPORARY_OR_CACHE,1739,34b235b11a12b8764cbff8205d4a153d53efccf48f18106f652115191ab951b4,generated cache or runtime output,,,,NO,HIGH
docs/clip/CLIP_FINAL_EVALUATION.md,UNUSED_CODE,1170,91ae978dab17f65aa05d8617f039be60d6c3cc9697661d84152408c065d5e71f,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
docs/clip/CLIP_SELECTOR_INTEGRATION.md,UNUSED_CODE,2991,12193316508cb404da0a1ff1837cf3170be188ecff2e68b52d015fbf4d85a30a,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
docs/clip/CLIP_TRAINING.md,UNUSED_CODE,4646,11152df82c2c435d36a6ef030df882df8b2a25a2803f790e62127180537d2fdf,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
docs/clip/CLIP_V1_FREEZE.md,UNUSED_CODE,651,4846cfae2f4a29ee3579434e60638e916a8a44dcbb8ea81a02cff8399666f612,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
docs/clip/CLIP_V2_METHODOLOGY.md,UNUSED_CODE,2113,1e684ba700d5ce732bf7226f3c9556f7462ff46feaa02f7d15202c61984a69f4,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
docs/clip/STATISTICAL_BASELINE.md,UNUSED_CODE,5429,a7b7637dc965f50801988385253a980b7d3a960e8133d943c1c362a71ced9178,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
docs/PROJECT_STRUCTURE.md,UNUSED_CODE,3494,0e3acef3d3a8a8a4ba3e561e1da0f1686996b7958a6276f1cfc88a322133383e,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
docs/RESEARCH_IMPLEMENTATION_REPORT.md,UNUSED_CODE,12546,acafebe883eba99f24c11dbffdba14b950194f47ca37a0c3ca1141ac330a6cb6,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
evaluation/__pycache__,TEMPORARY_OR_CACHE,138077,79b7ec7958d140a30c542536aba252545eafdea1b7deebaba9e48dd46561ee8d,generated cache or runtime output,,,,NO,HIGH
evaluation/feature_stability.py,UNUSED_CODE,104,70ef82f556c995f9460fc4bd263166fdc18201e6b2c26b8c38d628f89f2ca133,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
evaluation/feature_utils.py,UNUSED_CODE,109,57f12bacab4231f8d4ef511a437c3f2c11f094f3362fe534629177a8c2f5a790,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
evaluation/metrics.py,UNUSED_CODE,102,0f59f29922eafb582590bb783fd18a4b6ac8ab4aa464b649512d8a12e7927016,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
evaluation/plotting.py,UNUSED_CODE,103,9b2ab7d0903ef6efb593b39b26c27cc2706ed3650b9ee919d9070703f2f3f34d,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
evaluation/shapley.py,UNUSED_CODE,2726,417c2cf3abd8ed8448e142880a17935a58e1273ea98a2be7554bbd2456908cc1,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
evaluation/stability_scores.py,UNUSED_CODE,100,c91c164b8f1ef9abe1e110675cf6f0eb6f4d61d52c703950e22674f761e54b57,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
experiments/__init__.py,UNUSED_CODE,67,ab82098120c20a554971efa144ae9881838ddd0750aa41af4ca5866651205a7b,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
experiments/__pycache__,TEMPORARY_OR_CACHE,146981,16b69e26f4666c1ab576526fd0d50c9b7b31b5738370c14fedf3cc224ffef1e0,generated cache or runtime output,,,,NO,HIGH
experiments/common.py,UNUSED_CODE,103,4252698b898f211ed2a65eeb6df24d2e19d7b181796b7478c9d61ee2d51bad89,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
experiments/config.py,UNUSED_CODE,102,f99d7a8a448d50d7f7b910119f9c871751356936e1e2d4600647d98e552e1301,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
experiments/hybrid_comparison.py,UNUSED_CODE,9372,9c0b2a14f0e86d2b070c84c2d365886560aef9d690fce643ad821effb6c2f940,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
experiments/llm_vs_statistical.py,UNUSED_CODE,5603,fa806d4f760b8f46d40cf36c70ebbb87ff9cfa86e8bb7810153eac23e9cbb6f5,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
experiments/matrix.py,UNUSED_CODE,102,0c5890798e431eb47b7216f7c317de5d328a24764a04ac54824a9b6521658bf7,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
experiments/run_all.py,UNUSED_CODE,102,36687047d12462010adb1eba6a2fecfb613b5d4af02ae67b962e1d0ba822841d,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
experiments/single_experiment.py,UNUSED_CODE,106,486d555a82327b51939600cf6d7d4cb3b920b2e8563ab51fdc777e3081edbf1a,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
experiments/statistical_baselines.py,UNUSED_CODE,3170,25a5d29fbf7f907be05566487ccc175511bd4cea510143dbcd8ba39da8ce9118,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
experiments/tracking.py,UNUSED_CODE,104,23e9632a9a2d598cf82acffbdc215e6727733f9b1ef1b4be0408936d67dd0c26,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
feature_selection/__pycache__,TEMPORARY_OR_CACHE,148197,611299c27f296efc0f8eb97d552f28190a4f689ef6c6881e8e7940032ace9eaa,generated cache or runtime output,,,,NO,HIGH
feature_selection/boruta_rfe.py,UNUSED_CODE,100,83be38675bb15d46a6fd9db65a3f946be418d27b11b86f506263f8c6cebce66d,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
feature_selection/hybrid.py,UNUSED_CODE,107,b4e8e1471674bff17df8c790e5aa5be2038588760266bd6283833ed3fb490c93,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
feature_selection/llm_selector.py,UNUSED_CODE,107,0ab1c8f97d9b4692e0a1c808073f5e60ec5356f86c68b5f39cd89a96a9f6d640,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
feature_selection/missing_filter.py,UNUSED_CODE,109,d62ae3498d9918798825683717c096e51f5c87e8b50017775197d1a9cc205333,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
feature_selection/mrmr.py,UNUSED_CODE,98,c7fd864c6ed54e1f13b58ede42534f462d056ac490c4fa89b040f67014945ef3,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
feature_selection/pca.py,UNUSED_CODE,97,d7abeaa2c84417d395d4f3b0bf2707073e41c7ca72ace22a5c8a40a6dd407dd3,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
feature_selection/README.md,UNUSED_CODE,6972,94a06da6b0f1c91bc928639b4c5557121ffa8254beb63ddce37e160a39520b80,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
main.py,UNUSED_CODE,126,aaa090e57b01d5331d92b5b37ec739d67314a4116b8ce638bbd2d9c6053b5157,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
Models/__pycache__,TEMPORARY_OR_CACHE,43326,9c58e438b3f00f8c535b57b3583e7e113296fe3e51ff016608574147137e7604,generated cache or runtime output,,,,NO,HIGH
Models/catboost_model.py,UNUSED_CODE,105,aa7515dd24e312c81e825c85503fc34990e00904f7935b572f774a761bfde4e4,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
Models/logistic_regression_model.py,UNUSED_CODE,110,22c04230d80952aa306f234eb2dfe4d2ce25a229c83579dbeae6a50f207c1148,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
Models/random_forest_model.py,UNUSED_CODE,110,f354100a35683cf6928322e1dae271a59b1d22178c1b03fb775767a7689fa24a,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
Models/utils.py,UNUSED_CODE,99,d55959950598a0acf6315d20f2812aebc68a43915e904071312a128f3cda1ecf,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
Notebooks/archive/final_report_analysis_plots.ipynb,UNUSED_CODE,32335,86667aa24f2b1033a46b9a4915f2c792ec85522a14ca4d7d381e37530d3ab7ef,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
Notebooks/archive/homecredit/analysis.ipynb,UNUSED_CODE,258838,85ee59c32a039ee95ef9928da016fcf9c204cde5fb8787877726b78e3c38021b,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
Notebooks/archive/homecredit/data_prep.ipynb,UNUSED_CODE,4686,187b35b4d96de6b7286129ddf79c601966adadd211536d94d890c1e0fb332468,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
Notebooks/archive/homecredit/test_prediction.ipynb,UNUSED_CODE,3132,d9434a96e6900e7b48caadf1b01d336a00b9afab9f477b93e0060dea0a6f5ded,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
Notebooks/archive/lendingclub/eda.ipynb,UNUSED_CODE,43094,c719a126f68aebdb8d179b1650fd60256eff79b3ea4ecdd6843a347d9b6e7bca,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
pipelines/__init__.py,UNUSED_CODE,36,3c78788ea0fb8b468bf16f215d385ccca713e31b0d6625da9c1c4e1f920e5b92,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
pipelines/__pycache__,TEMPORARY_OR_CACHE,108007,d74e204886f27759a59eb66bca5165b69d7ab078f2bc5968508d7cddb32a6a4a,generated cache or runtime output,,,,NO,HIGH
pipelines/common.py,UNUSED_CODE,100,82b420b9feafc7e2d5153dfd68957b95f40d3389babea3b9397fef762f57631a,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
pipelines/comparison.py,UNUSED_CODE,103,7ff2d5c144a0ce17a32fbed63d8eff8a186d424b6662f70e50025d0964be9a02,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
plots.py,UNUSED_CODE,5003,b3e115f32c429bd95acacdc93a12d10dec6e726ca1d598e5f2ca0bbb117955f5,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
Preprocessing/__init__.py,UNUSED_CODE,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
Preprocessing/__pycache__,TEMPORARY_OR_CACHE,60551,b3f589e85abce8173a6fa9b5413315e8fcc394cd2fb5cdebbaa109be03ff180e,generated cache or runtime output,,,,NO,HIGH
Preprocessing/data_process.py,UNUSED_CODE,96,d294001fb5f68db9382b9c1cca7931e470824edf794c6b4ff27e27f213656925,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
Preprocessing/feature_engineering.py,UNUSED_CODE,123,5109158e0205f0564486660e48b73861e55eee4bc1561624e6d206596558b0ab,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
Preprocessing/preprocessing.py,UNUSED_CODE,106,80ea11185ff7637a3abf6a4dd364f7a041590c13ca82f36d2e779d1c5366f2bc,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
pytest_tmp,AMBIGUOUS_REVIEW_REQUIRED,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"Windows ACL denies read, ownership change, permission reset, move, and recursive deletion for the current account",D:/python projects/Research_pre_cleanup_backup_20260704/acl_blocked_caches/pytest_tmp,,,NO,LOW
report.md,UNUSED_CODE,17887,fb7577fa6d906ed8b91d1496ec5604268bb27d2badb9036f523929408960c17e,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
report_input_bundle/01_REPORT_EVIDENCE.md,UNUSED_CODE,30270,0b29e9135cf7eee6e3afdaa76f3ad0c6d9ac7444df76fc47c63a3ac8499e7703,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
report_input_bundle/02_REPORT_TABLES.xlsx,SUPERSEDED_VALID_OUTPUT,138956,6fb697e22543f1b8b77a5e650c896752d3a2867eaa33a20cbdff594c3b6f2514,superseded report-input bundle,results/final_research_package_v2,,,NO,HIGH
report_input_bundle/03_REPORT_PLOTS.pdf,SUPERSEDED_VALID_OUTPUT,2204463,dd2c629f8855b02bb1f2fd4824a47d613cb22918fba2bd025f4b0078aaabb77b,superseded report-input bundle,results/final_research_package_v2,,,NO,HIGH
reports/final_clip_credit_risk_report.docx,INVALID_SCIENTIFIC_OUTPUT,2805,9b91769f9a4c8fff7d5a7889986ecc5ea401a3739f8529a47dab038155ddae5f,report derives from invalid old-policy CLIP evidence,results/final_research_package_v2,,,NO,HIGH
reports/final_clip_credit_risk_report.md,INVALID_SCIENTIFIC_OUTPUT,4677,35756e3d159968220a9fc2ef7c8433b51810c44330b23ee60915d1fd678f412a,report derives from invalid old-policy CLIP evidence,results/final_research_package_v2,,,NO,HIGH
reports/final_clip_credit_risk_report.pdf,INVALID_SCIENTIFIC_OUTPUT,3156,93fa9d52d49a5af3420d07a52f74545f050ad6c3a88556d8da0ec86fedbf6948,report derives from invalid old-policy CLIP evidence,results/final_research_package_v2,,,NO,HIGH
reports/final_clip_limitations.md,INVALID_SCIENTIFIC_OUTPUT,1207,ea90280cd4b5c325e19bcc22f37355757459f8a8e42ae91c8959458cb91c6841,report derives from invalid old-policy CLIP evidence,results/final_research_package_v2,,,NO,HIGH
reports/final_clip_reproducibility_manifest.json,INVALID_SCIENTIFIC_OUTPUT,9512,6e5e39f649a8841cf8678509ef039f35ee11b1ca237ff6b7b36fc63ae95227c9,report derives from invalid old-policy CLIP evidence,results/final_research_package_v2,,,NO,HIGH
reports/final_clip_scientific_verdict.md,INVALID_SCIENTIFIC_OUTPUT,421,ec3e93df8e707ca174ebffec91e4d17c92f19abcf3c7f2b82102903ee2c88dd5,report derives from invalid old-policy CLIP evidence,results/final_research_package_v2,,,NO,HIGH
results/clip/statistical_baseline/dry_run,DRY_RUN_OR_SMOKE_OUTPUT,73624,820f2754f498d6479f59858d87f89fe845900d3c2354fd4c3363eefacf9117b6,non-scientific dry-run output,,,,NO,HIGH
results/clip/text_baseline/dry_run,DRY_RUN_OR_SMOKE_OUTPUT,8411,30fb5fe09a369ba79774371bd10917e9a331d0bded58c392afc2b9b4cb75a044,non-scientific dry-run output; full target-free text baseline retained,results/clip/text_baseline,,,NO,HIGH
results/clip_pairing_repair/smoke,DRY_RUN_OR_SMOKE_OUTPUT,5489,de6fc8d579b6fd2945b1f1b39abe7400e1fa50d619a5ea94644f23719fe87cb9,checkpoint marked NOT_FOR_SCIENTIFIC_USE,results/clip_pairing_repair,,,NO,HIGH
results/clip_v2/contrastive_data,INVALID_SCIENTIFIC_OUTPUT,749519,aa7957542a677ddacc1521767cb8d69843958fb008a661c984403f386058e4c0,old-policy contrastive pairs superseded by identity_equivalence_v2,results/corrected_homecredit_clip/contrastive_data,,,NO,HIGH
results/clip_v2/dry_run,DRY_RUN_OR_SMOKE_OUTPUT,631014,8e09fbd5382355904165d4b4eaeb5fb9de4a13cf7888c2d0c72abb80a141c473,obsolete CLIP-v2 dry-run output,,,,NO,HIGH
results/clip_v2/final_analysis,INVALID_SCIENTIFIC_OUTPUT,1117992,e557581532ba9b7b01a584ff56f59016d9190de84a66e04fcfeade37ff279fce,analysis derives from invalid old-policy CLIP outputs,results/final_research_package_v2,,,NO,HIGH
results/clip_v2/final_evaluation,INVALID_SCIENTIFIC_OUTPUT,187232613,aea16e85fb0851fd181b3a80f3444f6c02af3265d00bb8fb99bb26b95fb7f4e2,predictions and metrics derive from invalid old-policy checkpoints,results/corrected_homecredit_clip/combined_pipeline,,,NO,HIGH
results/clip_v2/selector_integration,INVALID_SCIENTIFIC_OUTPUT,1006314,c2a632268379530510fd6d68c4b90fb5fa32aca34b17b4f4572904e6374e6a4d,selector cache derives from invalid old-policy checkpoints,results/corrected_homecredit_clip/combined_pipeline,,,NO,HIGH
results/clip_v2/text_baseline,DUPLICATE_CONTENT,3403422,4aa3bcb48db8ab358c384cb030f5a57a0ffc12f9dc55284aa634719eb6563b26,byte-identical duplicate of retained target-free text baseline,results/clip/text_baseline,,,NO,HIGH
results/clip_v2/training,INVALID_SCIENTIFIC_OUTPUT,1933061,642c755e1c01113d8da46486bc0a9035d2b16374ef4a63dfcd6a4cf0c687c1f9,checkpoints trained with faulty pre-identity_equivalence_v2 policy,results/corrected_homecredit_clip/training,,,NO,HIGH
results/corrected_lendingclub_to_homecredit_transfer/downstream/logistic_regression.incomplete_oof_overlap_20260629,FAILED_OR_INCOMPLETE_OUTPUT,94969157,e83f67ba7f231f3c2f8cff663277046a5a8dec2a7b0764b204ff7ec517e115ef,incomplete overlapping-OOF attempt; authenticated replacement exists,results/corrected_lendingclub_to_homecredit_transfer/downstream/logistic_regression,,,NO,HIGH
results/corrected_lendingclub_to_homecredit_transfer_failed_20260629_140834,FAILED_OR_INCOMPLETE_OUTPUT,411,3d1f86132467ea78fa662ea24df97de1b44fa6779c5c025ab707528dc619a9a3,failed reverse-transfer attempt; successful canonical run exists,results/corrected_lendingclub_to_homecredit_transfer,,,NO,HIGH
results/corrected_lendingclub_to_homecredit_transfer_implementation_backup,MIGRATION_BACKUP,38771,652555d4f4541a6d130a3ba6252ecf71ac841a9c8639939d40883ff0d18eeebe,implementation is preserved in tracked source and safety tag,src/credit_risk_fs/pipelines/reverse_transfer.py,,,NO,HIGH
results/final_research_package,SUPERSEDED_VALID_OUTPUT,524239,efb74038f6d9573fc9af591f7281fadb2624bcbf9bf6f1c344f0ce290f451b27,superseded by authenticated final_research_package_v2,results/final_research_package_v2,,,NO,HIGH
results/research_summary/migrations/final_pre_prompt4_stability_repair_v1/backups,MIGRATION_BACKUP,16844,fc36c44762bc36797e0c2b9d8801ceefa3d5d86e66da8c5c7baf55b75872cdef,completed migration payload; compact manifests retained,results/research_summary/migrations/final_pre_prompt4_stability_repair_v1,,,NO,HIGH
results/research_summary/migrations/final_pre_prompt4_stability_repair_v1/staged,MIGRATION_BACKUP,35220,02810621503be5102df1fea61dfe7b60d2ab2edbc0a914c7077c2c235e170554,completed migration payload; compact manifests retained,results/research_summary/migrations/final_pre_prompt4_stability_repair_v1,,,NO,HIGH
results/research_summary/migrations/final_pre_prompt4_stability_repair_v2/backups,MIGRATION_BACKUP,26224,d76cf634e88d2c3ff15bdaf5b25ac16abfd68c8138eb7b0fd917adfe941f723a,completed migration payload; compact manifests retained,results/research_summary/migrations/final_pre_prompt4_stability_repair_v2,,,NO,HIGH
