group_id,sha256,size_bytes,copy_count,potential_duplicate_bytes,paths
duplicate_00799,0589e80ddecebf9d3077898c12975d2be7393df2856ee9926c534763e1e26bf2,558,4,1674,.venv/Lib/site-packages/tzdata/zoneinfo/Europe/Kiev;.venv/Lib/site-packages/tzdata/zoneinfo/Europe/Kyiv;.venv/Lib/site-packages/tzdata/zoneinfo/Europe/Uzhgorod;.venv/Lib/site-packages/tzdata/zoneinfo/Europe/Zaporozhye
duplicate_00817,05a30719a344d80aac616984b1f488afa8f66868b0095c85d898370e27a46a5f,15790,2,15790,.venv/Lib/site-packages/scipy/_lib/array_api_extra/_lib/_at.py;.venv/Lib/site-packages/sklearn/externals/array_api_extra/_lib/_at.py
duplicate_00849,05e32db1dceb65980495765684137fb8ef656248ea6a90ff6afe6619625b895d,3092,2,3092,results/corrected_lendingclub_to_homecredit_transfer/downstream/logistic_regression.incomplete_oof_overlap_20260629/llm_responses/fold_2/reverse_transfer_clip_then_mrmr_source_to_model_lineage.csv;results/corrected_lendingclub_to_homecredit_transfer/downstream/logistic_regression/llm_responses/fold_2/reverse_transfer_clip_then_mrmr_source_to_model_lineage.csv
duplicate_00919,066127a990f766cb29212fef792472622055b64b269a1c3f41b539d55fc05936,20169,2,20169,results/lendingclub_v2/lr/hybrid_boruta/lr_hybrid_llm_then_boruta_4ecceaa878fc/llm_responses/final_dev/llm/selection_payload.json;results/lendingclub_v2/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_45d98f9ad95c/llm_responses/final_dev/llm/selection_payload.json
duplicate_00920,06636a0f7efb7f037e3b0fc247378688404bfda7b9148ef58dd1fdb4c4a96cb1,1367,2,1367,.venv/Lib/site-packages/plotly/labextension/package.json;.venv/share/jupyter/labextensions/jupyterlab-plotly/package.json
duplicate_00948,0699d55b8c2104bc55894e32045b6feccaadf12150e8647556b770f2c48b488a,293,3,586,.venv/Lib/site-packages/plotly/graph_objs/waterfall/decreasing/__init__.py;.venv/Lib/site-packages/plotly/graph_objs/waterfall/increasing/__init__.py;.venv/Lib/site-packages/plotly/graph_objs/waterfall/totals/__init__.py
duplicate_01062,0783854f52c33ada6b6d2a5d867662f0ae8e15238d2fce7b9ada4f4d319eb466,191,11,1910,.venv/Lib/site-packages/tzdata/zoneinfo/Africa/Addis_Ababa;.venv/Lib/site-packages/tzdata/zoneinfo/Africa/Asmara;.venv/Lib/site-packages/tzdata/zoneinfo/Africa/Asmera;.venv/Lib/site-packages/tzdata/zoneinfo/Africa/Dar_es_Salaam;.venv/Lib/site-packages/tzdata/zoneinfo/Africa/Djibouti;.venv/Lib/site-packages/tzdata/zoneinfo/Africa/Kampala;.venv/Lib/site-packages/tzdata/zoneinfo/Africa/Mogadishu;.venv/Lib/site-packages/tzdata/zoneinfo/Africa/Nairobi;.venv/Lib/site-packages/tzdata/zoneinfo/Indian/Antananarivo;.venv/Lib/site-packages/tzdata/zoneinfo/Indian/Comoro;.venv/Lib/site-packages/tzdata/zoneinfo/Indian/Mayotte
duplicate_01125,07f01410e70932293315b365692dce982d2d80a459e5c3409575445ac89c5df7,22,2,22,.tmp/pytest-clip-final/test_complete_run_without_mark0/runs/homecredit_lr_clip/config_snapshot.json;.tmp/pytest-final/test_complete_run_without_mark0/runs/homecredit_lr_clip/config_snapshot.json
duplicate_01130,07fd75f758a156bfe5a1cdb7da3aaee67d905a4265aae586452f9b60b956b9bf,209240,2,209240,results/corrected_lendingclub_to_homecredit_transfer/downstream/logistic_regression.incomplete_oof_overlap_20260629/llm_responses/fold_5/reverse_transfer_clip_then_mrmr_selection_manifest.csv;results/corrected_lendingclub_to_homecredit_transfer/downstream/logistic_regression/llm_responses/fold_5/reverse_transfer_clip_then_mrmr_selection_manifest.csv
duplicate_01146,081125ac50582d813cd94cfa0296a498b670f6ddb3f4c1f1de8217720f9faef8,4336,2,4336,results/corrected_homecredit_clip/training/alignment_metrics.csv;results/corrected_homecredit_clip/training/retrieval_metrics.csv
duplicate_01167,0839995a1a7c6c165949c0abbe5dc7341f8f6e394fbeeb91485ffbe307ac52b3,531,8,3717,.tmp/pytest-clip-final/test_full_statistical_baseline0/statistical_preprocessor.joblib;.tmp/pytest-clip-final/test_lendingclub_v2_is_transfo0/statistical_preprocessor.joblib;.tmp/pytest-clip-final/test_statistical_rankings_are_0/first/statistical_preprocessor.joblib;.tmp/pytest-clip-final/test_statistical_rankings_are_0/second/statistical_preprocessor.joblib;.tmp/pytest-final/test_full_statistical_baseline0/statistical_preprocessor.joblib;.tmp/pytest-final/test_lendingclub_v2_is_transfo0/statistical_preprocessor.joblib;.tmp/pytest-final/test_statistical_rankings_are_0/first/statistical_preprocessor.joblib;.tmp/pytest-final/test_statistical_rankings_are_0/second/statistical_preprocessor.joblib
duplicate_01245,08c37df48d1b9758545590caba7ef93545174e32e72945db967a1ce177f4d403,22158,8,155106,results/lendingclub_v2/catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_10179060705b/llm_responses/fold_4/llm/iv_prefilter/iv_summary.csv;results/lendingclub_v2/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_59865aa71763/llm_responses/fold_4/llm/iv_prefilter/iv_summary.csv;results/lendingclub_v2/catboost/hybrid_stable_core_llm_fill/catboost_hybrid_stable_core_llm_fill_8da7f3b51c4a/llm_responses/fold_4/llm/iv_prefilter/iv_summary.csv;results/lendingclub_v2/catboost/llm/catboost_llm_llm_e6489647a93c/llm_responses/fold_4/iv_prefilter/iv_summary.csv;results/lendingclub_v2/lr/hybrid_boruta/lr_hybrid_llm_then_boruta_4ecceaa878fc/llm_responses/fold_4/llm/iv_prefilter/iv_summary.csv;results/lendingclub_v2/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_45d98f9ad95c/llm_responses/fold_4/llm/iv_prefilter/iv_summary.csv;results/lendingclub_v2/lr/hybrid_stable_core_llm_fill/lr_hybrid_stable_core_llm_fill_497f694ad76d/llm_responses/fold_4/llm/iv_prefilter/iv_summary.csv;results/lendingclub_v2/lr/llm/lr_llm_llm_bb103e2ac012/llm_responses/fold_4/iv_prefilter/iv_summary.csv
duplicate_01275,09035620bd831697a3e9072f82de34cfca5e912d50c8da547739aa2f28fb6d8e,134,5,536,.venv/Lib/site-packages/tzdata/zoneinfo/Pacific/Funafuti;.venv/Lib/site-packages/tzdata/zoneinfo/Pacific/Majuro;.venv/Lib/site-packages/tzdata/zoneinfo/Pacific/Tarawa;.venv/Lib/site-packages/tzdata/zoneinfo/Pacific/Wake;.venv/Lib/site-packages/tzdata/zoneinfo/Pacific/Wallis
duplicate_01333,0954b2d9a301d94f4348024606a71bbcb2fa24d3cd3709f5bc8bca605039785d,256,3,512,.venv/Lib/site-packages/tzdata/zoneinfo/Asia/Kuala_Lumpur;.venv/Lib/site-packages/tzdata/zoneinfo/Asia/Singapore;.venv/Lib/site-packages/tzdata/zoneinfo/Singapore
duplicate_01348,096559a4dfc77e860c4920ee08fee280ebc682a03d00e9a95bc7f7a938ac7e77,39360,2,39360,.venv/Lib/site-packages/packaging/metadata.py;.venv/Lib/site-packages/setuptools/_vendor/packaging/metadata.py
duplicate_01439,09f1c8c9e941af3e584d59641ea9b87d83c0cb0fd007eb5ef391a7e2643c1a46,1053,2,1053,.venv/Lib/site-packages/more_itertools-11.0.2.dist-info/licenses/LICENSE;.venv/Lib/site-packages/setuptools/_vendor/more_itertools-10.8.0.dist-info/licenses/LICENSE
duplicate_01577,0aefcfb5aa7610cc77f382867e99c8d01a33740e2ed9dfc2aa072e519dddca23,23372,8,163604,results/homecredit/catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_159b47a7bfa0/llm_responses/fold_3/llm/iv_prefilter/iv_summary.csv;results/homecredit/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_87fbcccf4952/llm_responses/fold_3/llm/iv_prefilter/iv_summary.csv;results/homecredit/catboost/hybrid_stable_core_llm_fill/catboost_hybrid_stable_core_llm_fill_8993eae5a4f7/llm_responses/fold_3/llm/iv_prefilter/iv_summary.csv;results/homecredit/catboost/llm/catboost_llm_llm_d54c966a1d6e/llm_responses/fold_3/iv_prefilter/iv_summary.csv;results/homecredit/lr/hybrid_boruta/lr_hybrid_llm_then_boruta_9ceedb78b89f/llm_responses/fold_3/llm/iv_prefilter/iv_summary.csv;results/homecredit/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_f69e1a0cffc2/llm_responses/fold_3/llm/iv_prefilter/iv_summary.csv;results/homecredit/lr/hybrid_stable_core_llm_fill/lr_hybrid_stable_core_llm_fill_1ddd0142e614/llm_responses/fold_3/llm/iv_prefilter/iv_summary.csv;results/homecredit/lr/llm/lr_llm_llm_66fabfd650a1/llm_responses/fold_3/iv_prefilter/iv_summary.csv
duplicate_01610,0b254bf55364b83b6ea8a8217fd1040862a0153b3a37f31fd6160cc385192fd1,39,2,39,.venv/Lib/site-packages/scipy/_lib/array_api_compat/common/__init__.py;.venv/Lib/site-packages/sklearn/externals/array_api_compat/common/__init__.py
duplicate_01612,0b26388cd7747f335275fd4795819f6a4b40a661fbd6d44d465a4e10edf60c6b,1029,2,1029,.venv/Lib/site-packages/tzdata/zoneinfo/America/Whitehorse;.venv/Lib/site-packages/tzdata/zoneinfo/Canada/Yukon
duplicate_01631,0b3f3c00f4441483a5709fe98a4d84d59b6aa4929a03ff16d41aece6879c63f8,268,23,5896,tests_runtime/pytest/test_every_precommit_failure_b0/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b1/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b10/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b11/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b12/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b13/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b14/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b15/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b16/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b17/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b18/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b19/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b2/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b20/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b21/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b3/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b4/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b5/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b6/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b7/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b8/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_every_precommit_failure_b9/synthetic_registry/summary_manifest.json;tests_runtime/pytest/test_transaction_manifest_repl0/synthetic_registry/summary_manifest.json
duplicate_01651,0b615483066088b6f39d1fa4d1bff9937022ff568048e5c3b2cde5cc252c52e8,87,2,87,.venv/Lib/site-packages/httpx-0.28.1.dist-info/WHEEL;.venv/Lib/site-packages/openai-2.31.0.dist-info/WHEEL
duplicate_01661,0b6e86085b6ecc26c87cadb330fbcc46542fde1ce9dca1670f3ee73ee3eec2ad,5296,2,5296,results/research_summary/migrations/registry_artifact_identity_migration_v1_20260629T135128Z/backups/results_access_guide.md;results/research_summary/results_access_guide.md
duplicate_01792,0c5733815791ba0c4320f66733024294fdae5bfdf9c13604fec02c516840ab52,15148,8,106036,results/lendingclub/catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_263dc623a138/llm_responses/fold_5/llm/iv_prefilter/feature_audit.csv;results/lendingclub/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_429b32e00b37/llm_responses/fold_5/llm/iv_prefilter/feature_audit.csv;results/lendingclub/catboost/hybrid_stable_core_llm_fill/catboost_hybrid_stable_core_llm_fill_2d74dcada6cc/llm_responses/fold_5/llm/iv_prefilter/feature_audit.csv;results/lendingclub/catboost/llm/catboost_llm_llm_fe14a4902388/llm_responses/fold_5/iv_prefilter/feature_audit.csv;results/lendingclub/lr/hybrid_boruta/lr_hybrid_llm_then_boruta_3ade576dac90/llm_responses/fold_5/llm/iv_prefilter/feature_audit.csv;results/lendingclub/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_ede4e8b044ab/llm_responses/fold_5/llm/iv_prefilter/feature_audit.csv;results/lendingclub/lr/hybrid_stable_core_llm_fill/lr_hybrid_stable_core_llm_fill_c3c3d4603207/llm_responses/fold_5/llm/iv_prefilter/feature_audit.csv;results/lendingclub/lr/llm/lr_llm_llm_94542581466b/llm_responses/fold_5/iv_prefilter/feature_audit.csv
duplicate_01804,0c6ac578070c503cae235b45c949d3afdbf0559a0eb21a5ec5716d2ae66bbe1b,10461,2,10461,.venv/Lib/site-packages/scipy/_lib/array_api_compat/cupy/_info.py;.venv/Lib/site-packages/sklearn/externals/array_api_compat/cupy/_info.py
duplicate_01822,0c84bb42f5d367e5ebf9fc2dde35b16141df5ee0fdc189250858bc6c5560f69e,1131,2,1131,.venv/Lib/site-packages/et_xmlfile-2.0.0.dist-info/LICENCE.rst;.venv/Lib/site-packages/openpyxl-3.1.5.dist-info/LICENCE.rst
duplicate_01841,0ca3618ba27c2b26347f8883ede876be39b04fefb1359f4179c89be40444c7f4,86592,8,606144,results/homecredit/catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_159b47a7bfa0/llm_responses/fold_3/llm/feature_metadata.csv;results/homecredit/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_87fbcccf4952/llm_responses/fold_3/llm/feature_metadata.csv;results/homecredit/catboost/hybrid_stable_core_llm_fill/catboost_hybrid_stable_core_llm_fill_8993eae5a4f7/llm_responses/fold_3/llm/feature_metadata.csv;results/homecredit/catboost/llm/catboost_llm_llm_d54c966a1d6e/llm_responses/fold_3/feature_metadata.csv;results/homecredit/lr/hybrid_boruta/lr_hybrid_llm_then_boruta_9ceedb78b89f/llm_responses/fold_3/llm/feature_metadata.csv;results/homecredit/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_f69e1a0cffc2/llm_responses/fold_3/llm/feature_metadata.csv;results/homecredit/lr/hybrid_stable_core_llm_fill/lr_hybrid_stable_core_llm_fill_1ddd0142e614/llm_responses/fold_3/llm/feature_metadata.csv;results/homecredit/lr/llm/lr_llm_llm_66fabfd650a1/llm_responses/fold_3/feature_metadata.csv
duplicate_01938,0d542e0c8804e39aa7f37eb00da5a762149dc682d7829451287e11b938e94594,10174,2,10174,.venv/Lib/site-packages/packaging-26.0.dist-info/licenses/LICENSE.APACHE;.venv/Lib/site-packages/setuptools/_vendor/packaging-26.0.dist-info/licenses/LICENSE.APACHE
duplicate_01978,0d82bf2e9b5a6e01e3eda9bc93cbdf62940fddeff2c556b49fef8c5ced5c60a6,4019,2,4019,results/homecredit/catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_159b47a7bfa0/features/final_selected_features.csv;results/homecredit/catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_159b47a7bfa0/selected_feature_sets/final_selected_features.csv
duplicate_01993,0d9ea5053e83188032a6fb4d301d5db688f43011e5b6b1f917a11b71a0da7b16,133,4,399,.venv/Lib/site-packages/tzdata/zoneinfo/Asia/Dubai;.venv/Lib/site-packages/tzdata/zoneinfo/Asia/Muscat;.venv/Lib/site-packages/tzdata/zoneinfo/Indian/Mahe;.venv/Lib/site-packages/tzdata/zoneinfo/Indian/Reunion
duplicate_02037,0e06e7e55aedbc92ef5b3d106e7c392ab1628cfd8a428b20e92e99028a0bfbb9,1043,4,3129,.venv/Lib/site-packages/tzdata/zoneinfo/Antarctica/McMurdo;.venv/Lib/site-packages/tzdata/zoneinfo/Antarctica/South_Pole;.venv/Lib/site-packages/tzdata/zoneinfo/NZ;.venv/Lib/site-packages/tzdata/zoneinfo/Pacific/Auckland
duplicate_02065,0e269a0b8c0b63e9337aa3d608454a092cce6bad55962dfc92e1b61dde74c777,23,2,23,.venv/Lib/site-packages/torch/testing/_internal/codegen/__init__.py;.venv/Lib/site-packages/torch/testing/_internal/data/__init__.py
duplicate_02120,0e862a2bf527eb3dc9165d0cbc98fa067f2e3fe7e1fd4836d30df67d0c0ca349,80,2,80,tests_runtime/pytest/test_authenticated_lr_and_abse0/out/candidate_pools/catboost_candidate_pool.csv;tests_runtime/pytest/test_completed_authenticated_l0/out/candidate_pools/catboost_candidate_pool.csv
duplicate_02147,0eada6c5c48d59984c591ab1c30b4c71aab000818cc243b3cfe996f1f26c715f,970,3,1940,.venv/Lib/site-packages/tzdata/zoneinfo/America/Edmonton;.venv/Lib/site-packages/tzdata/zoneinfo/America/Yellowknife;.venv/Lib/site-packages/tzdata/zoneinfo/Canada/Mountain
duplicate_02197,0efbd7d9ce7eec3a6e0a0db41e795e0396cca3d6b037dad6c61b464843d28809,120,5,480,.venv/Lib/site-packages/joblib/test/data/joblib_0.9.2_pickle_py27_np16.pkl_01.npy;.venv/Lib/site-packages/joblib/test/data/joblib_0.9.2_pickle_py27_np17.pkl_01.npy;.venv/Lib/site-packages/joblib/test/data/joblib_0.9.2_pickle_py33_np18.pkl_01.npy;.venv/Lib/site-packages/joblib/test/data/joblib_0.9.2_pickle_py34_np19.pkl_01.npy;.venv/Lib/site-packages/joblib/test/data/joblib_0.9.2_pickle_py35_np19.pkl_01.npy
duplicate_02255,0f540781da2b8e36d3928f623092da170ca48e78c84410cbcae41ab24a214a6c,882,2,882,.venv/Lib/site-packages/pyarrow/include/arrow/python/pyarrow_lib.h;.venv/Lib/site-packages/pyarrow/src/arrow/python/pyarrow_lib.h
duplicate_02322,0fb9fedbb09468c52f8ae998734f8e00e17796b642e76c60e24e3a6e40de204c,4204,2,4204,results/lendingclub_v2/catboost/statistical/catboost_statistical_mrmr_94a6a14a53a4/features/final_selected_features.csv;results/lendingclub_v2/catboost/statistical/catboost_statistical_mrmr_94a6a14a53a4/selected_feature_sets/final_selected_features.csv
