path,category,size_bytes,proposed_action,confidence,reason
.tmp/pytest-clip-final/test_contrastive_dry_run_does_0/dry_run/,TEMPORARY_OR_CACHE,39229,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_dataset_hash_verification0/,TEMPORARY_OR_CACHE,152876,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_dataset_refuses_lendingcl0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_dataset_returns_aligned_t0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_dry_run_performs_no_model0/,TEMPORARY_OR_CACHE,8467,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_dry_run_performs_no_model0/dry_run/,TEMPORARY_OR_CACHE,8467,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_full_statistical_baseline0/,TEMPORARY_OR_CACHE,611020,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_in_progress_directory_is_0/,TEMPORARY_OR_CACHE,2,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_in_progress_directory_is_0/runs/,TEMPORARY_OR_CACHE,2,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_in_progress_directory_is_0/runs/homecredit_lr_clip.in_progress/,TEMPORARY_OR_CACHE,2,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_legacy_lendingclub_is_rej0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_legacy_lendingclub_is_rej1/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_lendingclub_v2_is_transfo0/,TEMPORARY_OR_CACHE,611020,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_manifest_outputs_keep_rol0/,TEMPORARY_OR_CACHE,631014,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_negative_policy_excludes_0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_output_ordering_is_determ0/,TEMPORARY_OR_CACHE,631014,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_pair_building_and_pair_id0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_positive_pairs_align_same0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_same_seed_smoke_training_0/,TEMPORARY_OR_CACHE,239590,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_same_seed_smoke_training_0/first/,TEMPORARY_OR_CACHE,119795,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_same_seed_smoke_training_0/first/seeds/,TEMPORARY_OR_CACHE,119795,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_same_seed_smoke_training_0/first/seeds/seed_11/,TEMPORARY_OR_CACHE,119795,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_same_seed_smoke_training_0/second/,TEMPORARY_OR_CACHE,119795,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_same_seed_smoke_training_0/second/seeds/,TEMPORARY_OR_CACHE,119795,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_same_seed_smoke_training_0/second/seeds/seed_11/,TEMPORARY_OR_CACHE,119795,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_score_cache_materializes_0/,TEMPORARY_OR_CACHE,993488,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_score_cache_materializes_0/selector_integration/,TEMPORARY_OR_CACHE,992011,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_stale_score_cache_is_reje0/,TEMPORARY_OR_CACHE,993429,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_stale_score_cache_is_reje0/selector_integration/,TEMPORARY_OR_CACHE,991952,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_stale_source_hash_fails_m0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_statistical_dry_run_does_0/,TEMPORARY_OR_CACHE,73690,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_statistical_dry_run_does_0/dry_run/,TEMPORARY_OR_CACHE,73673,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_statistical_rankings_are_0/,TEMPORARY_OR_CACHE,1222040,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_statistical_rankings_are_0/first/,TEMPORARY_OR_CACHE,611020,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_statistical_rankings_are_0/second/,TEMPORARY_OR_CACHE,611020,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_text_baseline_with_mock_e0/,TEMPORARY_OR_CACHE,1121720,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_unsafe_rows_cannot_enter_0/,TEMPORARY_OR_CACHE,18077,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_unsafe_rows_cannot_enter_0/results/,TEMPORARY_OR_CACHE,18077,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_unsafe_rows_cannot_enter_0/results/homecredit/,TEMPORARY_OR_CACHE,18077,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_unsafe_rows_cannot_enter_0/results/homecredit/analysis/,TEMPORARY_OR_CACHE,18077,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_unsafe_rows_cannot_enter_0/results/homecredit/analysis/clip_readiness/,TEMPORARY_OR_CACHE,18077,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/,TEMPORARY_OR_CACHE,8993447,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_accepts0/,TEMPORARY_OR_CACHE,3717,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_accepts0/results/,TEMPORARY_OR_CACHE,3717,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_accepts0/results/homecredit/,TEMPORARY_OR_CACHE,3717,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_accepts0/results/homecredit/lr/,TEMPORARY_OR_CACHE,282,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_accepts0/results/homecredit/lr/statistical/,TEMPORARY_OR_CACHE,282,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_accepts0/results/homecredit/lr/statistical/run_a/,TEMPORARY_OR_CACHE,282,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_accepts0/results/homecredit/lr/statistical/run_a/features/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_accepts0/results/homecredit/lr/statistical/run_a/results/,TEMPORARY_OR_CACHE,86,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_include0/,TEMPORARY_OR_CACHE,4869,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_include0/results/,TEMPORARY_OR_CACHE,4869,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_include0/results/lr/,TEMPORARY_OR_CACHE,1205,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_include0/results/lr/llm/,TEMPORARY_OR_CACHE,1205,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_include0/results/lr/llm/run_a/,TEMPORARY_OR_CACHE,1205,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_include0/results/lr/llm/run_a/features/,TEMPORARY_OR_CACHE,626,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_include0/results/lr/llm/run_a/llm_responses/,TEMPORARY_OR_CACHE,155,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_include0/results/lr/llm/run_a/llm_responses/final_dev/,TEMPORARY_OR_CACHE,155,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_include0/results/lr/llm/run_a/llm_responses/final_dev/llm/,TEMPORARY_OR_CACHE,155,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_aggregate_results_include0/results/lr/llm/run_a/results/,TEMPORARY_OR_CACHE,175,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_baseline_rows_are_loaded_0/,TEMPORARY_OR_CACHE,86,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_baseline_rows_are_loaded_0/results/,TEMPORARY_OR_CACHE,86,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_baseline_rows_are_loaded_0/results/homecredit/,TEMPORARY_OR_CACHE,86,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_boruta_like_hybrid_backfi0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_experiment_summary_0/,TEMPORARY_OR_CACHE,447,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_experiment_summary_0/exp_a/,TEMPORARY_OR_CACHE,447,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_experiment_summary_0/exp_a/features/,TEMPORARY_OR_CACHE,45,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_experiment_summary_0/exp_a/features/fold_1/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_experiment_summary_0/exp_a/features/fold_2/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_experiment_summary_0/exp_a/results/,TEMPORARY_OR_CACHE,402,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_feature_metadata_in0/,TEMPORARY_OR_CACHE,67,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_feature_overlap_fra0/,TEMPORARY_OR_CACHE,30,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_feature_overlap_fra0/left/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_feature_overlap_fra0/left/features/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_feature_overlap_fra0/left/features/fold_1/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_feature_overlap_fra0/right/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_feature_overlap_fra0/right/features/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_feature_overlap_fra0/right/features/fold_1/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_manifest_outputs_ar0/,TEMPORARY_OR_CACHE,1262028,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_manifest_outputs_ar0/first/,TEMPORARY_OR_CACHE,631014,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_build_manifest_outputs_ar0/second/,TEMPORARY_OR_CACHE,631014,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_cache_invalidates_when_pr0/,TEMPORARY_OR_CACHE,3229,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_cache_invalidates_when_pr0/cache/,TEMPORARY_OR_CACHE,3172,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_catboost_hybrid_uses_top10/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_catboost_llm_only_truncat0/,TEMPORARY_OR_CACHE,10269,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_catboost_llm_only_truncat0/cache/,TEMPORARY_OR_CACHE,6508,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_compare_experiment_pair_r0/,TEMPORARY_OR_CACHE,894,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_compare_experiment_pair_r0/left/,TEMPORARY_OR_CACHE,461,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_compare_experiment_pair_r0/left/features/,TEMPORARY_OR_CACHE,45,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_compare_experiment_pair_r0/left/features/fold_1/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_compare_experiment_pair_r0/left/features/fold_2/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_compare_experiment_pair_r0/left/results/,TEMPORARY_OR_CACHE,416,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_compare_experiment_pair_r0/right/,TEMPORARY_OR_CACHE,433,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_compare_experiment_pair_r0/right/features/,TEMPORARY_OR_CACHE,45,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_compare_experiment_pair_r0/right/features/fold_1/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_compare_experiment_pair_r0/right/features/fold_2/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_compare_experiment_pair_r0/right/results/,TEMPORARY_OR_CACHE,388,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_complete_run_without_mark0/,TEMPORARY_OR_CACHE,995,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_complete_run_without_mark0/predictions/,TEMPORARY_OR_CACHE,422,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_complete_run_without_mark0/runs/,TEMPORARY_OR_CACHE,573,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_complete_run_without_mark0/runs/homecredit_lr_clip/,TEMPORARY_OR_CACHE,573,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_complete_run_without_mark0/runs/homecredit_lr_clip/features/,TEMPORARY_OR_CACHE,22,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_complete_run_without_mark0/runs/homecredit_lr_clip/models/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_complete_run_without_mark0/runs/homecredit_lr_clip/results/,TEMPORARY_OR_CACHE,342,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_completed_run_requires_le0/,TEMPORARY_OR_CACHE,99,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_completed_run_requires_le0/run/,TEMPORARY_OR_CACHE,99,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_completed_run_requires_le0/run/features/,TEMPORARY_OR_CACHE,4,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_completed_run_requires_le0/run/models/,TEMPORARY_OR_CACHE,3,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_completed_run_requires_le0/run/results/,TEMPORARY_OR_CACHE,8,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_config_parser_reads_rando0/,TEMPORARY_OR_CACHE,47,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_contrastive_dry_run_does_0/,TEMPORARY_OR_CACHE,39237,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_contrastive_dry_run_does_0/dry_run/,TEMPORARY_OR_CACHE,39229,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_dataset_hash_verification0/,TEMPORARY_OR_CACHE,152876,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_dataset_refuses_lendingcl0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_dataset_returns_aligned_t0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_dry_run_performs_no_model0/,TEMPORARY_OR_CACHE,8462,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_dry_run_performs_no_model0/dry_run/,TEMPORARY_OR_CACHE,8462,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_feature_selection_fit_nev0/,TEMPORARY_OR_CACHE,17486,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_feature_selection_fit_nev0/spy_run/,TEMPORARY_OR_CACHE,17486,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_feature_selection_fit_nev0/spy_run/features/,TEMPORARY_OR_CACHE,844,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_feature_selection_fit_nev0/spy_run/models/,TEMPORARY_OR_CACHE,9476,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_feature_selection_fit_nev0/spy_run/results/,TEMPORARY_OR_CACHE,5826,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_feature_selection_fit_nev0/spy_run/selected_feature_sets/,TEMPORARY_OR_CACHE,287,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_full_statistical_baseline0/,TEMPORARY_OR_CACHE,611020,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_hybrid_output_never_excee0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_in_progress_directory_is_0/,TEMPORARY_OR_CACHE,2,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_in_progress_directory_is_0/runs/,TEMPORARY_OR_CACHE,2,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_in_progress_directory_is_0/runs/homecredit_lr_clip.in_progress/,TEMPORARY_OR_CACHE,2,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_legacy_lendingclub_is_rej0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_legacy_lendingclub_is_rej1/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_lendingclub_v2_is_transfo0/,TEMPORARY_OR_CACHE,611020,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_llm_selector_sanitizes_ca0/,TEMPORARY_OR_CACHE,1809,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_llm_selector_sanitizes_ca0/cache/,TEMPORARY_OR_CACHE,1689,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_llm_shared_ranking_can_pr0/,TEMPORARY_OR_CACHE,11126,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_llm_shared_ranking_can_pr0/cache/,TEMPORARY_OR_CACHE,7005,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_llm_then_stat_selector_ap0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_lr_hybrid_uses_top60_cand0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_lr_llm_only_truncates_bro0/,TEMPORARY_OR_CACHE,7043,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_lr_llm_only_truncates_bro0/cache/,TEMPORARY_OR_CACHE,4662,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_manifest_outputs_keep_rol0/,TEMPORARY_OR_CACHE,631014,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_missing_invalid_llm_ranke0/,TEMPORARY_OR_CACHE,1823,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_missing_invalid_llm_ranke0/cache/,TEMPORARY_OR_CACHE,1696,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_negative_policy_excludes_0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_output_ordering_is_determ0/,TEMPORARY_OR_CACHE,631014,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_pair_building_and_pair_id0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_pipeline_runs_on_tiny_dum0/,TEMPORARY_OR_CACHE,17326,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_pipeline_runs_on_tiny_dum0/run/,TEMPORARY_OR_CACHE,17326,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_pipeline_runs_on_tiny_dum0/run/features/,TEMPORARY_OR_CACHE,847,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_pipeline_runs_on_tiny_dum0/run/models/,TEMPORARY_OR_CACHE,9478,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_pipeline_runs_on_tiny_dum0/run/results/,TEMPORARY_OR_CACHE,5695,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_pipeline_runs_on_tiny_dum0/run/selected_feature_sets/,TEMPORARY_OR_CACHE,290,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_plotting_creates_required0/,TEMPORARY_OR_CACHE,266895,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_plotting_creates_required0/plots/,TEMPORARY_OR_CACHE,266737,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_plotting_creates_required0/results/,TEMPORARY_OR_CACHE,158,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_plotting_creates_required0/results/lr/,TEMPORARY_OR_CACHE,158,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_plotting_creates_required0/results/lr/statistical/,TEMPORARY_OR_CACHE,158,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_plotting_creates_required0/results/lr/statistical/run_a/,TEMPORARY_OR_CACHE,158,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_plotting_creates_required0/results/lr/statistical/run_a/results/,TEMPORARY_OR_CACHE,158,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-final/test_positive_pairs_align_same0/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
